rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Myogenesis,0.004067400402162354,3.684635829149776,20.28300352206346,RYR1;MYOM1;TNNT1;GAA;TNNC2;MYH11;MYH7,0.1423590140756824,0,0,214,pos,MSigDB_Hallmark_2020
2,Xenobiotic Metabolism,0.0508439984704279,2.5779092702169626,7.679574154313181,JUP;CYP2S1;FAH;PTS;CES1,0.5931799821549921,0,0,214,pos,MSigDB_Hallmark_2020
3,KRAS Signaling Up,0.0508439984704279,2.5779092702169626,7.679574154313181,PCSK1N;JUP;MMD;HKDC1;C3AR1,0.5931799821549921,0,0,214,pos,MSigDB_Hallmark_2020
