rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,RUNX3 mouse,0.0026777674677022855,33.323232323232325,197.36590289038227,SLC22A17;CLDN7,0.2383213046255034,0,0,225,neg,TRRUST_Transcription_Factors_2019
2,USF2 mouse,0.008366027088182239,16.656565656565657,79.67795051677446,PIGR;LIPE,0.3449624604108656,0,0,225,neg,TRRUST_Transcription_Factors_2019
3,USF1 mouse,0.016794888254868964,11.1010101010101,45.36628383483138,PIGR;LIPE,0.3449624604108656,0,0,225,neg,TRRUST_Transcription_Factors_2019
