rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,TNF-alpha Signaling via NF-kB,0.00019001668226546373,4.837614100490667,41.45060631295679,STAT5A;JAG1;TUBB2A;CSF1;PMEPA1;ACKR3;ICOSLG;FUT4;ICAM1,0.007980700655149477,0,0,50,pos,MSigDB_Hallmark_2020
2,Estrogen Response Late,0.0009340556104345935,4.255208333333333,29.684225172013964,OPN3;ABHD2;AMFR;HSPA4L;PPIF;LARGE1;NBL1;GLA,0.011303175000201594,0,0,50,pos,MSigDB_Hallmark_2020
3,Myogenesis,0.0009340556104345935,4.255208333333333,29.684225172013964,SCD;GAA;IGFBP3;IGFBP7;LARGE1;CLU;PFKM;MYOM2,0.011303175000201594,0,0,50,pos,MSigDB_Hallmark_2020
