rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,SP1 human,0.020745788102259962,2.2030075187969924,8.537561853596513,YY1;PTGIR;CD151;CAT;APOA1;SPRY2;PTK6;PPL;CYP3A5;CES1,0.3211677101094624,0,0,112,neg,TRRUST_Transcription_Factors_2019
2,HNF1A human,0.027627182900674514,8.323232323232324,29.871707121892776,APOM;ACAT2,0.3211677101094624,0,0,112,neg,TRRUST_Transcription_Factors_2019
3,REL mouse,0.031718098235620266,7.682206682206682,26.51027997028578,IL23A;RORC,0.3211677101094624,0,0,112,neg,TRRUST_Transcription_Factors_2019
