rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Protein Secretion,2.1518844316349814e-10,14.98176291793313,333.48665642204367,RAB2A;RPS6KA3;COPB2;RER1;RAB14;COPB1;VPS4B;STX7;ADAM10;MAPK1;AP3B1;CLN5,6.670841738068442e-09,0,0,2,pos,MSigDB_Hallmark_2020
2,PI3K/AKT/mTOR  Signaling,0.0006569142848848823,6.154639175257732,45.100931303106,RPS6KA3;GSK3B;ACTR2;TBK1;MAPK1;IRAK4,0.010182171415715676,0,0,2,pos,MSigDB_Hallmark_2020
3,Complement,0.015493990781832804,3.1256244021681368,13.025424015927582,USP8;VCPIP1;GMFB;GNB4;PSEN1;PIK3CG,0.14006824651108907,0,0,2,pos,MSigDB_Hallmark_2020
