,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20
UNKL,0.96963644,0.5371988,-0.22854209,-0.29864907,0.061297417,-0.078612566,0.0078856945,0.10714829,-0.012257695,0.32567382,0.039440393,-0.07440448,-0.35437346,-0.4463017,-0.67172945,-0.0034362078,0.07775724,0.12701154,-0.013399124,0.07211268
UPF1,0.24673082,0.12903288,-0.38853586,-0.40784293,-0.07540807,-0.49398765,0.019203871,0.15915781,-0.0042282045,-0.03819205,0.012291968,0.0907138,-0.52960145,-0.094638765,-0.33130273,0.019271672,0.22157058,-0.4054278,-0.0084757805,0.035482645
UPF2,0.78455436,-0.13584793,-0.35227835,0.26867613,-0.028245896,-0.6379023,0.019277632,-0.07340759,-0.0104390085,-0.065763295,0.03590882,0.071338564,-0.08929074,-4.7683716e-05,-0.8776888,0.024334341,0.14071614,0.13335496,-0.048754364,-0.296022
UPF3A,1.0825872,-0.1938343,0.20381212,0.41015744,-0.15817285,-0.3527522,-0.015926361,0.06391406,0.01463294,-0.35458207,0.0302732,-0.0067412853,0.18281937,-0.3235042,-0.1547575,0.02015233,-0.10172725,-0.0055015087,-0.01783967,-0.054615736
UPF3B,0.9913862,-0.046128035,0.22959709,0.5590856,0.051176548,-0.16622543,-0.0011861324,0.07099509,-0.02476573,0.06136298,0.04014373,0.13708472,0.2615273,0.32237172,0.24839044,-0.025498867,-0.0029683113,0.21787286,0.10614991,-0.24639964
UPK3A,0.6429255,0.10635257,-0.032281876,0.14344454,-0.18117428,-0.09071827,-0.02066493,-0.361979,0.014984608,-0.38706064,-0.037956238,-0.046789646,0.12410879,-0.1210928,0.14468431,-0.048851967,-0.06671548,-0.3388703,-0.14836192,-0.2775073
UPK3BL1,0.3889382,0.01295805,-0.048539042,-0.14693439,-0.13809204,-0.43445528,-0.03401041,0.05712509,0.0728786,-0.19013584,-0.09966791,0.14830232,-0.29377937,-0.13157427,0.41742325,0.0048726797,-0.09904802,-0.23531318,-0.009587407,0.3301829
UPP1,-0.62399507,-0.05478263,0.19401312,-0.7515609,0.10308623,-0.5410671,0.01257062,0.0028312206,0.03671646,0.2006948,0.12682676,-0.14132857,0.27905107,0.15853047,-0.28291345,0.015926361,0.09415746,-0.088876486,0.10281205,0.2183497
UPRT,1.2980849,-0.014221668,0.33236444,0.23956001,-0.14103055,-0.12483001,-0.0038683414,-0.11592507,0.03219545,-0.36123395,0.020736456,-0.10317564,0.3729999,0.20924509,-0.26213527,0.013637543,-0.11033714,-0.05402863,0.011521578,-0.30878186
UQCC1,1.1309177,0.04942119,0.11126995,0.19407868,-0.34028292,-0.23496449,-0.00084638596,0.103238225,0.019481778,-0.399068,-0.09094179,0.08031428,-0.18164217,-0.16161501,0.19645989,-0.002247095,-0.16641319,-0.8163929,-0.044834614,-0.06836951
UQCC2,0.3028348,0.109671056,0.32738894,0.506714,0.29301047,-0.13194829,-0.0033646822,0.11879504,0.015494227,-0.09330809,-0.08986145,0.23369789,-0.0056251884,0.23766011,0.80996305,0.024625659,-0.034807622,-0.47520995,-0.026232004,0.09693354
UQCC3,0.24267733,-0.08190274,0.359419,0.32060444,-0.22209287,-0.5246401,0.012001395,0.415349,0.023046136,0.0638932,-0.0010699034,0.09666383,-0.05543828,-0.02848804,0.07095933,0.004312396,0.013366342,-0.41517615,-0.013980269,0.031414628
UQCR10,0.043529272,0.09765029,0.40821135,0.26277006,0.25835633,-0.73880255,-0.03862679,0.13557374,0.06425679,-0.10676384,0.037166476,0.16213357,0.20143092,0.31897128,0.2306819,0.03488958,0.004121661,-0.5702704,0.03261268,0.111591816
UQCR11,-0.7919222,-0.11999905,0.59263706,0.6019831,0.2741456,-0.20796359,0.0055909157,0.442034,0.025987625,-0.08649528,-0.0043809414,-0.064602494,0.16297698,-0.047311187,0.025177002,0.02169609,-0.045886636,-0.3805071,0.03350377,0.36008954
UQCRB,-0.31864643,-0.69371164,0.3368944,0.72083175,0.036397576,-0.708434,-0.0192374,-0.07251799,-0.028431416,-0.28801858,0.042161345,0.18232465,0.51393807,0.06599128,0.23976564,-0.034967065,0.0059217215,0.4325807,-0.0077724457,-0.13257265
