,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20
A1BG,-0.006085634,0.028178096,0.8418381,0.132896,0.105276704,-0.50958693,0.029373169,0.37648976,0.04490018,-0.25136173,-0.11730492,-0.050915778,-0.047558546,-0.0017076731,0.5262464,0.06453842,-0.20208657,-0.4975617,0.14662892,0.15798509
A1BG-AS1,0.2939731,0.21964908,0.14677942,-0.20732582,-0.104260445,-0.19919872,0.016465783,0.34447908,0.0050395727,-0.3840387,0.03374815,-0.009003282,-0.15639067,-0.020849705,-0.025761127,0.0046372414,0.088995695,-1.0890543,0.05712509,-0.035956502
A2M-AS1,1.0212898,0.08470416,0.25144815,0.48611164,-0.12204647,-0.04275441,-0.020766258,0.3622234,0.077700615,-0.245893,-0.123631954,-0.0130832195,-0.15922785,-0.020098686,0.08724332,0.06662607,-0.20290613,-0.20192862,0.07879138,0.031155348
AAAS,0.9152651,0.18375516,-0.069242716,0.18650293,-0.013685226,0.057530403,-0.011080503,-0.037831068,-0.032645464,-0.16891956,-0.11689067,0.29104948,-0.05658269,0.017988682,0.65240264,-0.0045001507,-0.22795796,-0.63773394,-0.0073194504,0.12561083
AACS,1.2326628,-0.06032288,-0.0020831823,0.17210245,-0.26141703,0.08054972,-0.0039488077,0.0425905,-0.042119622,-0.06574094,0.0044465065,0.018125772,0.14990866,0.08830428,0.3999859,0.0011652708,0.049495697,-0.44376254,0.05015731,-0.5006969
AAGAB,0.8508861,0.20936728,0.22854507,0.24745464,-0.101190805,-0.52901804,0.0127106905,-0.19355714,0.002270937,-0.39179027,-0.042933226,0.10854602,0.15245974,0.33156872,0.0449121,-0.011727214,-0.08717775,-0.47831535,-0.06887317,-0.22480488
AAK1,1.2072921,-0.07714331,-0.026273727,-0.08824468,-0.18483326,0.071680546,-0.002811104,0.07442385,0.006262958,0.16523302,-0.169833,-0.06507486,-0.0055730343,0.30908212,-0.22676066,0.03733784,-0.14723688,-0.41444898,0.040153414,-0.22925138
AAMDC,-0.23030937,-0.1441352,0.31259358,0.42379946,0.13129562,-0.22561699,0.00013634562,0.100880116,0.082778186,-0.12112707,-0.01033619,0.16564801,0.29030144,-0.10730848,0.496345,-0.038201362,-0.09353757,-0.35188496,0.11971295,0.08705035
AAMP,0.89161396,0.30488372,0.12020767,0.025773048,-0.16202033,0.036141276,0.007337332,-0.2722621,0.010344386,-0.42198896,-0.025069714,0.009778142,0.056770444,0.036400557,0.6888509,-0.01039505,-0.0096440315,-0.7253885,0.024527311,-0.17773509
AAR2,0.70436,0.19461513,0.16385317,-0.1277566,-0.25943518,-0.08174181,-0.014400482,-0.27011037,0.027179718,-0.5904496,-0.09204149,-0.12485981,-0.042647123,0.18580556,0.060337782,0.026416779,-0.10023713,-1.1052847,-0.11781454,-0.20978451
AARS2,1.3095021,0.03759265,-0.057393312,0.22095442,-0.089895725,0.29363036,-0.033134222,-0.0749588,-0.014317036,-0.16137958,-0.10073781,0.11945963,0.08278489,-0.004208088,0.43251514,-0.02810955,-0.1291275,-0.2744794,-0.044220686,0.036871433
AARSD1,0.8976728,-0.062447786,0.19491911,0.2986133,-9.536743e-05,0.11566579,-0.020176172,-0.1242131,-0.017401576,-0.20367205,-0.09338856,0.10138154,0.09016693,0.08401275,0.7625818,-0.037428737,-0.18951297,-0.29245913,-0.0528723,0.06735325
AASDH,0.71707964,-0.07258654,0.3252864,0.41014552,-0.021997094,-0.5550891,0.02926588,0.17205179,0.0075399876,-0.46007633,0.064748526,-0.041145086,0.08419752,-0.02976358,-0.51502883,-0.023812056,-0.052145123,-0.46904087,-0.0017642975,-0.1306653
AASDHPPT,1.2711958,-0.10433495,0.20795912,0.20766556,-0.010997057,-0.47246963,0.026755035,-0.00795275,0.014953315,-0.44002533,-0.0928238,-0.10385364,-0.00795126,0.05635023,-0.68053603,0.0032544136,-0.09420216,-0.019188225,-0.115798414,-0.15328228
AASS,0.8898318,-0.5008638,0.26496947,0.02424717,-0.08530617,-0.002476573,0.0605762,0.17733276,-0.07607937,-0.0032126904,0.18387139,0.059980154,-0.059506297,0.31107962,0.22462308,-0.0590384,-0.05182028,-0.18293262,-0.027424097,-0.24966002
AATBC,0.49818903,0.5688831,-0.05018562,0.20282567,-0.5035803,-0.218831,-0.026158988,0.265415,0.0705719,-0.70344806,-0.25324523,0.368841,-0.25841296,-0.21847934,-0.33513308,0.023008883,-0.0040262938,-0.7832363,-0.07953942,0.24586022
AATF,0.28247833,0.14119744,-0.42682886,-0.30496716,0.16737878,-0.40629506,-0.011107326,-0.63177943,-0.04544258,-0.102332234,-0.111824274,0.19845963,-0.13423562,0.2376914,0.8683145,-0.0058978796,-0.13320148,-0.66260695,-0.035116076,-0.13562143
AATK,-0.13451874,-0.0140577555,-0.19990802,-0.59915483,0.07919967,-0.38725734,0.0047534704,-0.1304239,-0.027292967,0.18459857,0.09467304,-0.23066103,-0.16448796,-0.17730296,-0.68731904,-0.026506186,0.17443597,-0.020250678,-0.101822615,0.087085366
ABAT,-0.020833313,-0.17042086,-0.26699287,-0.034207106,0.021384656,-0.8220641,-0.01173988,0.09767115,0.0075742602,-0.08954033,0.08103177,0.10734573,-0.45685154,-0.3605267,-0.7840669,0.02385676,0.15992746,-0.103838,-0.061484426,-0.03305152
ABCA1,0.5206734,0.30319393,-0.010167062,-0.09807199,0.26425272,-0.36100894,-0.0052839518,0.01167208,0.049759448,-0.020872056,0.06391108,-0.040608644,-0.22482872,-0.09433478,-0.89922696,-0.023251772,0.27185827,0.5690932,-0.1021713,-0.2963543
ABCA2,1.1929498,-0.0010818243,-0.28499216,-0.3468156,-0.18589795,-0.8087233,0.07123053,0.2699107,-0.03839135,0.06914735,0.0744164,0.21201223,-0.18836558,-0.15564561,-0.27304292,0.043056905,0.3066376,-0.016365945,-0.00019073486,0.4061684
ABCA3,1.1495948,-0.19392669,-0.24086535,0.20780265,-0.30639172,0.0039607286,-0.0064760447,0.109660625,-0.038048625,-0.148952,-0.16070306,0.17598867,-0.12490749,-0.14420152,0.52764714,-0.016087294,-0.07568002,-0.6606996,-0.064483285,-0.023809075
ABCA5,1.1066437,-0.04078746,0.0900507,0.5664289,0.16442537,0.008487701,0.0048935413,0.26617646,-0.021505356,0.04890561,0.043559074,0.03375113,-0.06462932,-0.19638538,-0.67480206,-0.016987324,-0.08960366,0.33276677,0.011819601,-0.15581548
ABCA7,0.66963285,-0.09909868,-0.47333688,-0.4189387,0.09561479,-0.74732006,0.023046136,0.17021,-0.109010935,0.44294298,0.19025654,0.42577386,0.06431639,-0.046658516,0.41030645,-0.06433725,0.2162829,0.4866287,0.06881952,0.26025772
ABCB1,1.3645321,-0.3030181,-0.004065037,-0.06758571,-0.22572279,-0.078216195,-0.012528896,-0.045138597,-0.01809299,0.06055236,-0.04579425,0.07331073,0.076562166,0.21935403,0.36028922,-0.006186962,-0.08124113,0.19845366,0.03325045,-0.14839172
ABCB10,0.91946423,0.14496744,0.28428435,0.86331964,0.15916675,0.34535676,-0.010970235,0.25722235,0.024658442,-0.2084747,0.049477816,-0.11605173,0.40547252,0.0740245,-0.8647248,0.0047147274,0.09729117,0.22872984,0.009000301,-0.16003251
ABCB4,0.7942498,-0.08302629,0.2591759,0.43066144,-0.1654774,-0.021007657,0.01398325,0.17976761,0.016441941,-0.09034872,0.2119422,0.052827597,-0.07199645,-0.30329227,0.3427446,-0.07853508,-0.21346807,-0.25435686,0.019705296,-0.35362542
ABCB7,1.0364354,0.100302696,0.22796392,0.32903254,0.13071597,-0.19281507,0.0055223703,-0.105297565,0.0018119812,-0.37104487,-0.06788671,0.17556548,0.34001172,0.2097249,0.3643006,-0.0037282705,-0.099250674,-0.14453828,0.071534514,-0.15054047
ABCB8,1.2256771,-0.039473176,0.0022292137,-0.09828508,-0.2222091,0.14254153,0.01335144,-0.06790459,-0.020304322,-0.16592443,-0.11956394,0.14235973,-0.037249923,0.1627326,0.38194656,0.015965104,-0.13416111,-0.74876845,-0.08930266,0.08363426
ABCB9,1.0224149,0.086957216,0.16825944,0.13169348,-0.07212013,0.01951605,0.040607154,0.18188506,0.020419061,0.20311922,0.08060485,0.17584264,-0.082311034,0.1630202,0.60049,-0.037397444,-0.033199787,-0.8060321,-0.056019425,-0.18396527
ABCC1,1.4248282,0.12053549,-0.0076025724,0.18067956,-0.16977191,0.29007792,-0.026375055,-0.010928512,0.022816658,0.092589855,-0.077706575,-0.030487776,0.30719638,0.24851859,0.28159618,-0.0073730946,-0.061273575,-0.013935566,0.09214282,-0.34663677
ABCC10,1.4122546,0.06497502,-0.11932254,0.09781718,-0.13093352,0.1603961,0.011062622,0.022661686,-0.009638071,0.018417835,-0.07276535,0.16997457,-0.03604293,-0.014990568,0.24237037,-0.0052034855,-0.12898445,-0.40135384,-0.014424324,0.109261274
ABCC3,-0.058710575,-0.1717925,-0.48823357,-0.06414652,-0.06323457,-0.42176247,-0.012779236,-0.107741356,0.030303001,-0.6103754,-0.21454692,0.1860261,0.21845102,0.10839701,0.19369125,-0.029194355,0.24703741,-0.48345923,-0.06529689,-0.17219782
ABCC4,0.14328659,-0.33136904,-0.14681816,0.7991165,-0.23795366,0.5874306,-0.007686019,0.4677087,0.08742809,-0.16566515,-0.11009425,-0.011305511,0.40628314,0.36216378,-0.35155416,-0.01590252,0.16653538,-0.036932528,-0.08952916,-0.28339326
ABCC5,0.98426044,0.26064813,-0.139907,0.18798411,0.23004413,-0.33016205,-0.008103251,0.20007193,-0.036415458,-0.04325211,0.10770857,0.023630261,-0.2209872,-0.29214323,-0.9924352,0.0085145235,0.064978,-0.23305118,-0.028148293,0.033006072
ABCD1,0.08684993,0.18547773,-0.057703257,-0.4505515,-0.18956661,-0.22851825,0.045770407,-0.158602,0.04467964,-0.2188325,0.057035685,-0.089251995,-0.09478927,0.023972988,-0.12908578,0.014513731,0.06608963,-1.0036647,-0.06196499,-0.09252429
ABCD2,1.0798723,-0.033037364,0.099013746,0.5420774,-0.12800843,-0.44350177,-0.02052188,0.10689795,-0.01809001,-0.14367849,-0.1518771,-0.07138699,-0.44971406,-0.08801669,-0.3666237,0.030888617,-0.1593411,-0.30700266,-0.116568804,-0.2306804
ABCD3,0.5789712,-0.10676831,0.26379675,0.45063645,0.11278242,-0.55560917,0.018270314,0.22629052,0.013969839,-0.25921166,-0.0119149685,-0.17089099,0.20876825,-0.06395131,-1.0236651,0.020112097,0.054728985,-0.18631369,-0.026012957,-0.14601797
ABCD4,1.3585865,-0.0031381845,0.12999177,0.21747947,-0.13766885,-0.0142633915,0.00053942204,0.1862526,-0.010189414,-0.075387955,-0.058355927,0.067168474,0.19510686,-0.07363558,0.20282865,-0.0022619963,-0.17894208,-0.2709657,0.06382167,0.0008940697
ABCE1,1.0421485,-0.132595,0.30595958,0.50385,-0.03813505,-0.29486418,-0.0023975968,0.06132424,0.013709068,-0.3169462,-0.1407519,-0.06309152,0.07061809,0.13612211,-0.33043027,0.020900369,-0.04772097,-0.28942227,-0.082182884,-0.1889661
ABCF1,1.0639846,0.13307929,-0.13909936,0.107216835,-0.20073056,0.27500987,-0.020128489,-0.22572875,-0.022023916,-0.17282367,-0.13325214,0.1360178,0.15708804,0.2749741,0.68430305,-0.022560358,-0.08789897,-0.2644658,-0.009632111,-0.23507476
ABCF2,1.0525495,0.0036984682,0.04532039,0.12367666,-0.2526313,-0.018748641,-0.008502603,-0.0777483,0.018289685,-0.3756523,-0.10993779,0.08382797,0.123241544,0.24370849,0.49300492,0.009852648,0.017878413,-0.626421,-0.014829636,-0.2604723
ABCF3,1.1588573,0.008571148,-0.05327463,-0.28714538,-0.030869246,0.262326,-0.028377771,-0.17828345,-0.027227402,0.04978776,-0.04233718,0.10532737,0.08279085,0.23867488,0.80893636,-0.00091195107,-0.1249969,-0.4287064,0.022929907,-0.09135008
ABCG1,0.64969957,0.44355989,0.051420927,-0.3106177,0.071269274,-0.25425553,0.035095215,-0.061154366,-0.0011891127,-0.011432171,0.11783838,-0.11279583,-0.6203711,-0.17832518,-0.1798451,0.00551939,0.23404658,0.16621947,-0.056952238,-0.43929815
ABHD10,0.6941125,-0.15714318,0.49063116,0.5727932,-0.17926544,-0.5785212,-0.005339086,0.25530607,0.037369132,-0.4364118,-0.14983267,-0.038820505,0.028540194,-0.017514825,-0.15524924,0.027991831,-0.11476576,-0.40230155,-0.07383376,-0.024344027
ABHD11,-0.12775362,0.23113489,-0.1437068,-0.49178153,0.20709336,-0.22127926,0.0064834952,-0.24716258,-0.009913743,-0.11934936,-0.12794733,0.11514425,0.03080964,-0.014138222,-0.039461255,0.064361095,-0.01116693,-0.86796135,0.03312528,0.28832108
ABHD12,1.1728615,0.14522374,0.14077425,0.07106364,-0.049570203,0.2526462,-0.003606081,-0.21807253,-0.005480647,-0.25185347,-0.018644333,0.03351569,0.11180341,0.25200248,0.7811755,-0.013396144,-0.018027425,-0.34390688,0.0012397766,-0.1540482
ABHD13,0.3075719,-0.12692809,0.18700361,0.024524331,0.2554804,-0.7228017,0.02180636,0.04478693,0.010240078,0.09551346,0.13236403,-0.23821294,0.28592944,-0.08075535,-1.1612236,0.023204088,0.137043,0.44393837,0.039315224,-0.099247694
ABHD14A,1.1852317,-0.15130043,0.05070865,0.23882389,-0.109669566,-0.06313324,0.015312433,-0.052189827,-0.021615624,-0.12216568,-0.12782514,0.04094243,-0.27100146,0.011774898,0.6885469,0.021377206,-0.120443106,-0.6465882,-0.12598336,-0.010457635
ABHD14B,0.9733021,-0.13041496,-0.01154542,0.14215112,-0.10134578,0.08293986,-0.02323389,-0.07892251,0.032013655,-0.23270845,-0.078475475,0.002360344,-0.026834011,0.004374981,0.80450773,-0.00041127205,-0.10634661,-0.53376555,-0.055873394,-0.11740327
ABHD15,1.4682472,-0.14050603,0.07376075,0.08522868,-0.19874573,0.0801146,0.017178059,0.010865927,0.032520294,-0.16694665,0.05313754,0.04066229,0.19794106,0.014525652,0.32749176,-0.013202429,-0.002604723,-0.13573766,0.024098158,-0.13766885
ABHD16A,0.3688395,0.18312931,-0.04416108,-0.52336454,0.29277205,-0.5163431,0.0030636787,0.061804056,0.02501607,0.3139913,0.23232102,-0.10868907,-0.017178059,-0.3047943,-0.29660463,-0.004506111,0.037527084,-0.28748512,0.079107285,0.14128685
ABHD17A,1.2240648,0.11180639,0.328964,-0.1272142,-0.2816081,0.16368628,0.005352497,-0.18128157,0.009346008,0.034946203,0.00295043,-0.053811073,-0.06759167,-0.121212006,0.76738596,0.040757656,-0.13959408,-0.42221546,0.0023305416,0.21891594
ABHD17B,1.6296089,-0.115948915,0.120806694,0.10519326,0.04054308,-0.19190013,0.037959218,-0.048607588,-0.019535422,-0.24859309,0.007674098,-0.12387335,0.0048220158,0.12853444,-0.059518218,0.035962462,-0.053718686,0.18033981,0.0413239,-0.26893318
ABHD17C,0.9841774,-0.14880896,0.21560192,-0.2866894,0.5724344,-0.25680363,-0.022995472,0.05427599,-0.032263994,0.1543343,0.12380779,0.11507869,0.20400286,0.49847105,-0.41377246,0.014653802,0.017082691,0.3391091,0.026658177,-0.050637126
ABHD18,0.8356124,0.063344836,0.23628771,0.30700564,0.012025237,-0.5814478,0.029405951,0.22990108,0.020334125,-0.09504259,0.05930811,-0.09059906,-0.15058517,-0.089120865,-0.9837955,0.021317601,-0.01013428,-0.19418001,-0.02489686,-0.18078983
ABHD2,0.4366994,0.048345327,-0.30710697,-0.5808294,0.2127111,-0.2773404,0.00010728836,-0.23015738,-0.026619434,0.17654896,0.05053878,-0.18768907,-0.1507461,-0.14650822,-0.71491003,-0.015848875,0.15023947,0.07698536,0.022792816,-0.051790476
ABHD3,0.52933097,0.123506784,-0.15170872,0.13590157,0.03760159,-0.9678155,0.014615059,0.19343495,-0.002092123,-0.29240847,-0.0051409006,0.099888444,-0.30016303,-0.18825829,-0.9079486,0.010302663,0.058189034,0.177899,-0.030177832,0.0526309
ABHD4,0.45692325,0.35972,-0.7336706,-0.51983,0.35308003,-0.078970194,-0.012922287,-0.28428733,-0.048792362,0.04259348,0.03720522,0.1455903,-0.098368526,-0.1241982,0.023078918,-0.046494603,0.17941892,0.5295485,0.00048577785,0.011503696
ABHD5,-0.23869872,0.030130148,-0.45878887,-0.62577724,0.7320106,-0.9883344,-0.048822165,-0.011312962,-0.08085966,0.5784273,0.23769736,0.25410652,-0.16674995,-0.109666586,-0.36869645,0.02118349,0.21819472,0.70857406,0.19885898,0.20635724
ABHD6,0.49594492,-0.16925335,0.22914112,-0.37369132,-0.43458343,-0.39666295,0.03479421,0.07247925,0.032523274,-0.8394927,0.013375282,-0.074890256,-0.009405613,0.18476844,-0.25311112,0.027886033,0.22538006,-0.6200701,-0.012645125,-0.14847219
ABHD8,-0.41467547,0.23998022,0.19102693,-0.21390319,-0.1572907,-0.3948033,0.026017427,-0.100165606,0.11508465,-0.3238678,0.120186806,-0.16687512,0.17626882,0.020307302,0.06121993,0.00975728,0.22438169,-0.9878814,0.012940168,-0.26029944
ABI1,0.36900416,-0.03733635,0.04919246,-0.056477636,0.27927235,-0.6749481,0.00994131,-0.10173172,0.024864823,0.09199157,0.07235706,-0.12512505,0.3340207,-0.022384524,-0.9650998,0.016643852,0.17151386,0.42560473,0.05429685,-0.051377714
ABI2,1.2268007,-0.18486977,-0.014722347,0.36723018,-0.28240085,0.09650588,0.023543835,-0.010061264,0.002002716,-0.13854504,-0.088608265,-0.0005722046,0.14773011,0.09402633,0.32390356,-0.014477968,-0.12772083,0.093626976,-0.04003048,-0.34558177
ABI3,1.0492682,0.06327629,0.087964535,-0.038951635,-0.20440817,0.26038885,-0.010347366,-0.30530095,-0.0049114227,-0.329417,-0.18011332,0.08909106,0.20976663,0.24681687,0.76084137,0.022119284,-0.17431974,-0.21294951,0.022786856,0.028425455
ABL1,1.4465988,-0.011879206,0.015980005,0.030064583,-0.07870197,0.34697652,-0.017803907,-0.01412034,0.018650293,-0.13343692,0.025302172,0.007402897,0.25641918,0.23165941,0.2015233,-0.023579597,0.025093555,-0.16419888,0.026214123,-0.22566319
ABL2,1.1189729,0.040236115,-0.1928091,-0.28716624,-0.259614,-0.38653612,0.07369518,-0.15529394,-0.016474724,0.027769804,0.045588613,0.017890334,0.28089285,0.35153627,-0.3219247,-0.0058203936,0.088858604,0.14439821,-0.021755695,-0.45253634
ABLIM1,1.4481127,-0.106185675,0.038468838,0.27867258,-0.17981827,0.16070306,-0.030973554,-0.0009864569,-0.004246831,-0.1149863,-0.10334253,-0.048089027,-0.0625819,-0.12777448,0.3107816,-0.011062622,-0.13985336,-0.19111335,-0.036996603,-0.3471583
ABO,0.5163759,0.37947148,0.051501393,0.23888946,0.17310232,-0.020843744,0.10967404,0.18122941,-0.015345216,0.16486794,-0.040332973,0.16515851,-0.021469593,0.05336702,-0.1522556,-0.028653443,-0.06210506,0.15629679,0.23738295,-0.181894
ABR,0.7440098,0.21444038,-0.39893687,-0.5144708,-0.051529706,-0.63065815,0.010949373,-0.06470904,-0.029673427,-0.13085529,0.055279583,-0.009498,-0.37442744,-0.2698563,-0.5528696,0.0077977777,0.20968169,-0.4302971,-0.03178045,0.07021427
ABRACL,0.316903,0.067183375,0.27559996,0.39324164,0.08662343,-0.7263718,-0.0060886145,0.04388094,0.06733537,-0.50111395,-0.025093555,0.063201785,0.05402863,0.124287605,0.04504323,0.02451241,0.020837784,-0.7564483,0.045886636,-0.14093816
ABRAXAS1,0.8554548,-0.09868145,0.16269386,0.28516352,0.08200705,-0.75241923,-0.004348159,0.16845167,0.0063359737,-0.20214021,0.045639277,-0.1414001,0.006762147,-0.38450956,-0.7701725,0.015884638,0.064742565,-0.110813975,-0.022089481,-0.12387335
ABRAXAS2,0.6544888,0.12783408,0.08211136,-0.035476685,-0.1605928,-0.38291812,0.009447336,-0.23263693,0.019854307,-0.36866665,-0.028336048,-0.1370728,0.17719865,0.13564825,-0.6513238,0.029557943,0.04081726,-0.5891621,-0.080513954,-0.35670996
ABT1,1.1079652,0.13719052,0.17491728,-0.19154102,-0.10460019,-0.26949495,-0.0035256147,-0.33296496,-0.016793609,-0.38523674,0.025646389,-0.33141673,-0.27494133,-0.02298206,-0.0879392,0.01437068,-0.11250973,-0.6635934,-0.14806092,-0.2540022
ABTB1,-0.71657896,-0.03708601,-0.23702979,-0.3937602,0.11588335,-0.5189121,-0.01500845,0.20155907,0.015676022,0.063192844,0.07009506,0.009781122,-0.3756523,-0.2793789,-0.4825592,0.0072956085,0.13548136,-0.26263,-0.052791834,0.21330714
ACAA1,-0.28837472,0.41576624,0.03297031,-0.48787147,0.4585579,-0.8240387,0.025361776,-0.027699769,-0.0076264143,0.37293732,0.124679506,0.10995269,0.14782101,-0.4075259,-0.1303345,0.00032931566,0.09175688,-0.26813,0.09488016,0.4595816
ACAA2,0.30056238,-0.20334125,0.17702878,0.13653189,0.072327256,-0.6474048,-0.042045116,-0.22143275,0.013899803,-0.64293146,-0.1269579,0.09319484,0.21395981,0.46964437,0.19424409,0.040909648,-0.020545721,-0.8432865,-0.11716783,0.022229552
ACACA,1.2907594,0.092467666,-0.16260743,0.08532107,-0.20288527,0.11249483,-0.023153424,-0.055754185,0.0033855438,-0.21660924,-0.20466149,0.13445914,0.17081201,0.22239685,0.2656728,0.015327334,0.01309514,-0.7178813,0.0005751848,-0.19643009
ACACB,1.0817766,-0.032502413,-0.009965897,0.08351803,0.17180443,0.22996068,0.00590086,0.27692318,-0.050115585,0.20904541,0.18103123,0.11225939,-0.24346113,-0.1265645,-0.044989586,-0.016385317,0.08147955,-0.23378134,0.14663339,-0.10359287
ACAD10,1.0140419,0.11997968,-0.13728887,0.0823006,0.024092197,-0.32909364,0.033263862,0.105153024,0.015696883,-0.28223246,-0.07555336,0.17657578,-0.33922344,-0.20347685,0.13377666,-0.025132298,-0.051015615,-0.9624794,-0.075145066,0.21006018
ACAD11,1.030457,-0.107204914,0.04453659,0.36206245,0.0918448,-0.02835393,-0.0036358833,0.106287,-0.011181831,-0.07637739,-0.03541112,0.15565753,0.13008118,-0.00513196,0.017178059,-0.027525425,-0.15614629,0.039422512,0.007671118,0.013029575
ACAD8,0.5894929,0.07956028,0.27041435,0.03311932,0.5969465,-0.29119253,-0.062268972,0.24636984,-0.053817034,0.46811104,0.1875192,-0.09703934,0.32086968,-0.1202628,-0.7167712,-0.016367435,-0.10789484,-0.39397925,0.15987754,-0.046256185
ACAD9,0.911957,0.23121238,0.082200766,0.22804141,0.008493662,-0.03375411,-0.0225842,-0.08075833,0.021332502,-0.279361,-0.12015104,0.11385083,0.14815927,0.15115142,0.4141748,0.022393465,-0.0017046928,-0.70269704,-0.012332201,-0.07352233
ACADM,0.55741817,-0.331074,0.14871508,0.7089138,0.14763325,-0.63877183,0.0183478,0.1164943,0.030894578,-0.20277053,0.07849634,0.051638484,0.21063685,0.1311019,-0.5606689,0.0069588423,0.18969923,-0.18303543,-0.023917854,-0.16942322
ACADS,0.53415,-0.05916953,0.032055378,-0.11257529,-0.018575788,0.02900958,0.008267164,-0.17742217,0.0028252602,-0.22075176,0.0141739845,0.06574988,0.14320612,0.33062398,0.64895153,-0.014790893,0.11691153,-0.7631779,-0.065261126,0.10731816
ACADSB,0.9943962,-0.32519698,0.15636086,0.4682094,-0.028979778,-0.49819946,-0.029227138,0.02284944,0.0040590763,-0.29705763,0.041347742,-0.0021964312,0.012516975,-0.1708895,-0.5227089,-0.021645427,-0.09237826,-0.06183088,-0.13381839,-0.06275773
ACADVL,0.15671551,0.112339854,0.025111437,-0.43676794,0.21633804,-0.35578012,-0.03261268,-0.034201145,0.016960502,-0.111567974,-0.080913305,0.19682646,0.3884524,0.296849,0.5250633,-0.018504262,-0.018179417,-0.53924024,0.070253015,0.19274354
ACAP1,0.08010417,0.13617128,-0.08247793,-0.42487234,-0.086951256,-0.71890205,0.014139712,0.37159324,-0.022183359,0.59668124,-0.053836405,0.20214617,-0.36285222,-0.010356307,0.4362151,0.08791089,0.08138567,-0.75635165,0.0678584,0.14726073
ACAP2,0.20430684,-0.012174249,-0.17385185,-0.071811676,0.07106662,-0.92491806,0.018519163,0.025872886,0.024917722,-0.07392019,0.054506958,-0.027704239,-0.2504915,-0.17345846,-0.98032504,0.03142953,0.23636967,0.27324557,-0.028571486,-0.092202425
ACAP3,0.80773234,0.37608147,-0.067692995,-0.32895207,-0.18959641,-0.15087128,0.012981892,0.073343515,-0.009560585,-0.052571297,-0.006866455,0.34481287,-0.2381146,-0.10899305,0.6536007,-0.023144484,0.064605474,-0.6175935,0.0060796738,0.30013323
ACAT1,0.025707483,-0.40582418,0.29054284,0.55215955,0.32834113,-0.68383217,-0.027054548,0.081035495,0.008019805,-0.032553077,0.03363192,0.19728243,0.46654344,0.29333532,0.1162976,-0.012183189,0.07490218,-0.09589493,-0.07119179,0.01566708
ACAT2,0.64950436,0.11891723,0.3893718,0.2691418,0.19997507,-0.59747994,0.0031203032,-0.018183887,8.791685e-05,0.031235814,0.07139593,0.0683561,0.17270446,0.2752334,0.58704615,0.053465366,-0.021265447,-0.6739959,0.07242113,-0.2075553
ACBD3,1.0801226,-0.08650124,0.27722418,0.11833608,-0.0047147274,-0.4370004,0.010895729,-0.106564164,0.008812547,-0.10623932,0.027021766,-0.23741424,0.2514571,0.09453297,-0.7498145,-0.0018745661,0.010547042,0.38083494,0.0024080276,-0.22835433
ACBD4,0.91668963,-0.09074509,0.13050139,0.2248913,0.08151233,-0.08710921,-0.027132034,0.3128469,0.040256977,-0.09202361,0.011402369,0.16489625,-0.12907982,-0.10229945,0.6334603,0.017741323,-0.00015497208,-0.82805157,0.017893314,0.13144612
ACBD5,1.0300711,-0.17447025,0.13942719,0.21356344,-0.07492751,-0.5447477,0.030249357,-0.026074052,-0.019839406,-0.23812652,-0.021316111,-0.06505996,-0.03274083,0.022290647,-0.6743878,0.017257035,-0.012345612,0.071021914,-0.0284791,-0.1830861
ACBD6,0.27791858,-0.18331707,0.027003884,0.046363473,0.02526939,-0.5252242,0.040718913,0.1370579,-0.0044196844,-0.18177032,-0.026026368,-0.057300925,-0.14181137,-0.09470284,-0.20521581,0.046101213,0.058045983,-0.48119724,0.054639578,-0.00079870224
ACCS,0.80596805,-0.020360947,0.0656724,0.13412535,0.20518303,0.14417171,0.004145503,0.211218,-0.055655837,0.04285276,0.061020255,0.022810698,-0.00654459,-0.15772581,0.30000806,-0.040742755,0.07468462,-0.066778064,0.03757775,-0.036755204
ACD,1.0558128,0.019437075,-0.10052323,-0.1904726,-0.1024127,0.06929636,-0.015246868,-0.010406971,0.022602081,-0.13292432,-0.11712313,0.20101666,-0.233078,0.053930283,0.98997355,0.010001659,-0.17014742,-0.4625559,0.01013279,0.15462637
ACE,1.0800093,0.048769265,0.061201304,0.23462251,0.048213452,0.3422998,-0.043946505,-0.04805401,-0.003413111,-0.05435124,-0.09901598,0.06515682,0.04273802,0.19388944,0.71150887,-0.020099431,-0.09718835,-0.31292886,0.026331842,-0.14412105
ACER3,-0.515157,0.054365396,0.08459687,-0.2541244,-0.07688403,-0.6611109,0.0454247,-0.021964312,0.08382201,0.12654662,-0.0052273273,-0.049823523,0.35979152,0.15227795,-0.79827905,0.03578067,0.08736849,-0.24098754,0.079494715,-0.08222461
ACIN1,1.1520565,0.1618743,-0.5084574,-0.25755167,-0.16818643,-0.32927096,0.04259944,0.1343131,-0.036412477,0.14571548,0.0016570091,0.14055073,-0.14567673,-0.1933515,-0.3140688,-0.028342009,0.18499792,0.029104948,0.013715029,0.00059604645
ACKR3,0.5777955,-0.092211366,0.085133314,-0.23151636,0.120681524,0.29175878,0.029373169,-0.033149123,-0.0029027462,-0.40192902,0.030761957,0.027829409,0.28118193,0.4277438,-0.5307168,-0.030606985,0.029218197,-0.08550584,-0.001719594,-0.09531379
