rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Attenuation Phase R-HSA-3371568,5.040037149156438e-09,37.76029451868012,721.4426130512456,HSP90AA1;HSPH1;MRPL18;PTGES3;HSPA6;FKBP4;HSPA1A,2.4192178315950902e-06,0,0,9,neg,Reactome_2022
2,HSF1 Activation R-HSA-3371511,1.1658879153757558e-08,32.60621761658031,595.6242263242178,HSP90AA1;HSPH1;MRPL18;PTGES3;HSPA6;FKBP4;HSPA1A,2.798130996901814e-06,0,0,9,neg,Reactome_2022
3,HSF1-dependent Transactivation R-HSA-3371571,5.8771323085647185e-08,24.72699660532428,411.69489454838754,HSP90AA1;HSPH1;MRPL18;PTGES3;HSPA6;FKBP4;HSPA1A,9.40341169370355e-06,0,0,9,neg,Reactome_2022
