rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,EPAS1 human,0.004247232134539841,24.98989898989899,136.4820277236255,FLT1;MSC,0.25486100492341235,0,0,220,neg,TRRUST_Transcription_Factors_2019
2,RFXANK human,0.009590008493683598,15.374514374514375,71.44588341233826,HLA-DRB5;HLA-DQA2,0.25486100492341235,0,0,220,neg,TRRUST_Transcription_Factors_2019
3,RFXAP human,0.009590008493683598,15.374514374514375,71.44588341233826,HLA-DRB5;HLA-DQA2,0.25486100492341235,0,0,220,neg,TRRUST_Transcription_Factors_2019
