rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,GTPase Regulator Activity (GO:0030695),7.449896329724925e-12,6.613636363636363,169.4600206986399,RAP1GAP2;DOCK5;GDI1;AGAP2;MYO9B;DENND3;ARAP1;GMIP;ARHGAP26;ARHGAP45;FGD3;PREX1;SIPA1L1;TBC1D30;RAPGEF1;ELMO1;RIN3;ARHGEF1;DENND5A;ARHGEF2;DOCK2;SIPA1;CYTH1;TBC1D10B,1.6389771925394835e-09,0,0,4,neg,GO_Molecular_Function_2023
2,Guanyl-Nucleotide Exchange Factor Activity (GO:0005085),9.960640936747193e-07,6.553080093572463,90.55999042096344,FGD3;PREX1;DOCK5;RAPGEF1;ELMO1;RIN3;ARHGEF1;DENND5A;DENND3;ARHGEF2;DOCK2;CYTH1,0.00010956705030421913,0,0,4,neg,GO_Molecular_Function_2023
3,GTPase Activator Activity (GO:0005096),1.4964623150526344e-06,6.287073666203357,84.3247889138533,RAP1GAP2;PREX1;SIPA1L1;TBC1D30;AGAP2;MYO9B;ARAP1;GMIP;ARHGAP26;SIPA1;TBC1D10B;ARHGAP45,0.00010974056977052651,0,0,4,neg,GO_Molecular_Function_2023
