rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Intracellular Membrane-Bounded Organelle (GO:0043231),4.553568939946798e-07,2.092191087720724,30.55055994379828,OTUD5;CCNK;MIDN;GMEB2;DGKD;CHD4;MED12;ZMIZ1;RASSF5;FAM53C;CIC;JAK1;SRRM2;NCOA1;TLE4;KDM6B;TLE3;NCOA6;IST1;USP4;TFE3;ARID5A;CSNK1D;ACTN4;RFX1;TYK2;ARAP1;SAFB;RNF40;TOX4;GAK;ELF4;THRAP3;KAT6A;MAPKAPK2;RAPGEF1;ERF;MYH9;PRKD2;BCORL1;CSNK1G2;NOTCH2;KMT2D;HDAC5;AKNA;NOTCH1;MGRN1;FLII;ANKRD11;KMT2B;AGAP2;NEDD9;BAZ2A;CUX1;POLR2A;UBN1;MKNK2;PLCG2;SAFB2;PACSIN2;STAT6;CAMTA2;SLC15A3;MEF2D;PLK3;CREBBP;SF3A1;MBD6;CBX4;IQSEC1;PHF12;PCIF1;STAT3;OSBPL2;MSN;WWP2;ARID3B;GATAD2A;FOSL2;DIAPH1;NFIC;BCL3;PLEKHM1;UBA1,6.875889099319666e-05,0,0,4,neg,GO_Cellular_Component_2023
2,Focal Adhesion (GO:0005925),1.8862892727364455e-06,4.553849759756241,60.02383377432566,ACTN1;PXN;NEDD9;MSN;ACTN4;IGF2R;DNM2;ADGRE5;PACSIN2;MYH9;ARHGEF2;ITGA5;TLN1;PDLIM7;JAK1;MAP4K4,0.00012362070061004428,0,0,4,neg,GO_Cellular_Component_2023
3,Cell-Substrate Junction (GO:0030055),2.456040409471078e-06,4.455890788115177,57.55656349529787,ACTN1;PXN;NEDD9;MSN;ACTN4;IGF2R;DNM2;ADGRE5;PACSIN2;MYH9;ARHGEF2;ITGA5;TLN1;PDLIM7;JAK1;MAP4K4,0.00012362070061004428,0,0,4,neg,GO_Cellular_Component_2023
