rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Bile Acid Metabolism,0.005381572076205341,4.71914689671699,24.65647950040891,SLC22A18;ALDH1A1;FDXR;APOA1;FADS1,0.15211779338384662,0,0,143,pos,MSigDB_Hallmark_2020
2,IL-2/STAT5 Signaling,0.015151192505367015,3.141979595107099,13.163876618045636,PLAGL1;IL2RA;SCN9A;FAH;CCR4;PHLDA1,0.15211779338384662,0,0,143,pos,MSigDB_Hallmark_2020
3,mTORC1 Signaling,0.015493990781832804,3.1256244021681368,13.025424015927582,SRD5A1;FDXR;SORD;VLDLR;FADS1;PGM1,0.15211779338384662,0,0,143,pos,MSigDB_Hallmark_2020
