rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Bile Acid Metabolism,0.005381572076205341,4.71914689671699,24.65647950040891,ABCA1;AMACR;SLC22A18;ALDH1A1;PEX11G,0.21691587094565926,0,0,221,pos,MSigDB_Hallmark_2020
2,TNF-alpha Signaling via NF-kB,0.015493990781832804,3.1256244021681368,13.025424015927582,ABCA1;PANX1;EFNA1;JAG1;PTX3;JUNB,0.21691587094565926,0,0,221,pos,MSigDB_Hallmark_2020
3,Glycolysis,0.015493990781832804,3.1256244021681368,13.025424015927582,DPYSL4;NASP;SRD5A3;ANG;VLDLR;PAM,0.21691587094565926,0,0,221,pos,MSigDB_Hallmark_2020
