rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Regulation Of Dendritic Cell Differentiation (GO:2001198),0.00011224655254723089,43.059463379260336,391.61775629527256,TMEM176B;LILRB2;FCGR2B,0.13682854755507445,0,0,221,pos,GO_Biological_Process_2023
2,Regulation Of Cholesterol Storage (GO:0010885),0.000330570754905644,27.395939086294415,219.56995457412373,SCARB1;ABCG1;CES1,0.20148287511499002,0,0,221,pos,GO_Biological_Process_2023
3,Reverse Cholesterol Transport (GO:0043691),0.0005011239651713426,23.178836392034363,176.1280286078286,SCARB1;ABCG1;CES1,0.20362337118128887,0,0,221,pos,GO_Biological_Process_2023
