rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Secondary Alcohol Biosynthetic Process (GO:1902653),8.814271911404375e-05,20.183673469387756,188.4459421090328,DHCR24;MSMO1;CES1;FDFT1,0.060386097224738006,0,0,192,pos,GO_Biological_Process_2023
2,Cholesterol Biosynthetic Process (GO:0006695),0.00010411396073230691,19.221574344023324,176.26230732641343,MSMO1;DHCR24;FDFT1;CES1,0.060386097224738006,0,0,192,pos,GO_Biological_Process_2023
3,Sterol Biosynthetic Process (GO:0016126),0.00016460907121433117,16.816326530612244,146.50278000651662,MSMO1;DHCR24;FDFT1;CES1,0.06364884086954138,0,0,192,pos,GO_Biological_Process_2023
