rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,ATM human,0.02015437543575447,9.98989898989899,39.00390099361183,DUSP1;PVR,0.309674663219464,0,0,152,neg,TRRUST_Transcription_Factors_2019
2,FOXM1 mouse,0.021930489497360046,9.513708513708513,36.34120010270031,SFTPC;MYC,0.309674663219464,0,0,152,neg,TRRUST_Transcription_Factors_2019
3,PGR human,0.02566829332016634,8.685551163812033,31.810820468950148,DUSP1;MYC,0.309674663219464,0,0,152,neg,TRRUST_Transcription_Factors_2019
