rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Ribosome (GO:0005840),1.6527139052035316e-25,53.547425474254744,3055.534362249246,RPL30;RPS9;RPL41;RPS7;RPL31;RPL11;RPL9;RPL6;RPS17;SERP1;RPS27;RPL36AL;RPS18;RPS29;RPL24;RPL27;RPL39;RPS10;RPL17;RPS21,2.8096136388460034e-23,0,0,6,neg,GO_Cellular_Component_2023
2,Large Ribosomal Subunit (GO:0015934),8.08969694388761e-22,52.459797033567526,2547.777232188554,RPL30;RPL41;RPL21;RPL31;RPL34;RPL11;RPL35A;RPL9;RPL6;RPL7;RPL36AL;RPL35;RPL24;RPL27;RPL26;RPL39;RPL17,4.584161601536312e-20,0,0,6,neg,GO_Cellular_Component_2023
3,Cytosolic Large Ribosomal Subunit (GO:0022625),8.08969694388761e-22,52.459797033567526,2547.777232188554,RPL30;RPL41;RPL21;RPL31;RPL34;RPL11;RPL35A;RPL9;RPL6;RPL7;RPL36AL;RPL35;RPL24;RPL27;RPL26;RPL39;RPL17,4.584161601536312e-20,0,0,6,neg,GO_Cellular_Component_2023
