rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,PPAR signaling pathway,0.03805558843062846,4.231572174161721,13.83177100318916,FADS2;ILK;NR1H3,0.9276998691541705,0,0,230,pos,KEGG_2021_Human
2,Homologous recombination,0.06327253922506833,5.118104118104118,14.127522570834804,RAD51C;XRCC2,0.9276998691541705,0,0,230,pos,KEGG_2021_Human
3,Glycosphingolipid biosynthesis,0.07445847463610643,4.641061780596664,12.055221541075596,GCNT2;ABO,0.9276998691541705,0,0,230,pos,KEGG_2021_Human
