rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Osteoclast differentiation,0.0002924396738320178,5.948186528497409,48.40189365254897,SOCS3;MAPK11;PPP3R1;SOCS1;ITGB3;CTSK;FOS,0.048734397344541595,0,0,153,neg,KEGG_2021_Human
2,Fluid shear stress and atherosclerosis,0.0005050196616014673,5.404145077720207,41.02239618130867,MAPK11;NOS3;ITGB3;ITGA2B;FOS;ACVR2B;ACVR2A,0.048734397344541595,0,0,153,neg,KEGG_2021_Human
3,Oxytocin signaling pathway,0.000926851605557617,4.84900074019245,33.864049316967844,PPP3R1;CACNB4;NOS3;PLA2G4C;FOS;PRKAB1;MYL9,0.05962745329087336,0,0,153,neg,KEGG_2021_Human
