rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Platelet Degranulation R-HSA-114608,0.00026537848498707224,6.049617985421972,49.81469306650155,ITGB3;ITGA2B;SERPINF2;F13A1;CD9;A1BG;PF4,0.08411814245015233,0,0,153,neg,Reactome_2022
2,Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005,0.0003371468635276646,5.802224188044989,46.38873553467045,ITGB3;ITGA2B;SERPINF2;F13A1;CD9;A1BG;PF4,0.08411814245015233,0,0,153,neg,Reactome_2022
3,Toll-like Receptor Cascades R-HSA-168898,0.0012444958376236746,4.596857763663714,30.74849549486566,MAPK11;SOCS1;KCNH8;CTSK;BPI;FOS;S100B,0.11317986804248201,0,0,153,neg,Reactome_2022
