rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,TRERF1 human,3.3473033797170354e-05,75.36548223350253,776.6239908457204,CD40;LILRB2;LILRB4,0.0035146685487028873,0,0,44,neg,TRRUST_Transcription_Factors_2019
2,RELA human,0.0009359483251668758,3.5284861638632665,24.60748710984857,CD40;GCLC;CR2;TNIP3;EBI3;MADCAM1;TIMP1;HPSE;CCR5;FBP1,0.03444127139227347,0,0,44,neg,TRRUST_Transcription_Factors_2019
3,NFKB1 human,0.0009840363254935277,3.5040416741512486,24.26145104550499,CD40;GCLC;CR2;TNIP3;EBI3;MADCAM1;TIMP1;HPSE;CCR5;FBP1,0.03444127139227347,0,0,44,neg,TRRUST_Transcription_Factors_2019
