rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Metabolism Of Fat-Soluble Vitamins R-HSA-6806667,7.079811421809596e-06,14.904953482524515,176.74686266062798,VKORC1L1;AKR1C3;APOA1;SDC1;APOE;BCO2,0.0031646757055488893,0,0,212,neg,Reactome_2022
2,Retinoid Metabolism And Transport R-HSA-975634,6.723327393029232e-05,13.334682860998651,128.110862510313,AKR1C3;APOA1;SDC1;APOE;BCO2,0.015026636723420334,0,0,212,neg,Reactome_2022
3,Plasma Lipoprotein Clearance R-HSA-8964043,0.000398558082417591,13.014483212639895,101.8729147560068,LIPC;APOA1;VLDLR;APOE,0.05938515428022106,0,0,212,neg,Reactome_2022
