rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Fluid shear stress and atherosclerosis,0.0005050196616014673,5.404145077720207,41.02239618130867,GSTM3;SDC4;DUSP1;MGST3;PDGFB;FOS;KLF2,0.10605412893630813,0,0,39,neg,KEGG_2021_Human
2,Gap junction,0.0019039709857819793,6.091133765832561,38.15372640786974,TUBA1C;TUBB6;PDGFB;KRAS;TUBB4B,0.19991695350710784,0,0,39,neg,KEGG_2021_Human
3,Long-term depression,0.003056541487458822,7.19533527696793,41.664381947961964,GNAO1;GNAZ;PPP2R1B;KRAS,0.21395790412211754,0,0,39,neg,KEGG_2021_Human
