rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,TNF-alpha Signaling via NF-kB,0.0009340556104345935,4.255208333333333,29.684225172013964,CXCL10;YRDC;MARCKS;JAG1;PLK2;SIK1;IER2;IER3,0.03923033563825293,0,0,156,neg,MSigDB_Hallmark_2020
2,IL-2/STAT5 Signaling,0.015151192505367015,3.141979595107099,13.163876618045636,CXCL10;ARL4A;SOCS1;CISH;SCN9A;EMP1,0.16268690320924445,0,0,156,neg,MSigDB_Hallmark_2020
3,Hypoxia,0.015493990781832804,3.1256244021681368,13.025424015927582,PRDX5;PHKG1;IGFBP3;CAV1;PRKCA;IER3,0.16268690320924445,0,0,156,neg,MSigDB_Hallmark_2020
