rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,RUNX3 human,0.0032779948419926,11.152284263959391,63.79690278522437,CLDN7;TIMP1;RUNX1,0.14826434050960655,0,0,85,pos,TRRUST_Transcription_Factors_2019
2,CIITA human,0.0036027345500000223,10.753444525018129,60.49954695168429,STAT1;IRF1;HLA-C,0.14826434050960655,0,0,85,pos,TRRUST_Transcription_Factors_2019
3,STAT1 mouse,0.004692069558581303,9.711314884558703,52.07091984713094,BACE1;IRF1;GBP2,0.14826434050960655,0,0,85,pos,TRRUST_Transcription_Factors_2019
