rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Agammaglobulinemia (HP:0004432),1.7696212764855076e-07,56.38461538461539,876.6302276842081,CD79B;IGHM;CD79A;CIITA;BLNK,4.586770937415712e-05,0,0,28,neg,Human_Phenotype_Ontology
2,Recurrent otitis media (HP:0000403),2.1383547493779542e-07,19.911917098445596,305.80839613375537,CD79B;IGHM;CD79A;TNFRSF13B;CD19;BLNK;UNC119,4.586770937415712e-05,0,0,28,neg,Human_Phenotype_Ontology
3,Sepsis (HP:0100806),6.247575458382648e-07,16.664537896132064,238.06795841122283,CD79B;IGHM;CD79A;DCLRE1C;BLNK;AK2;PLEC,8.934032905487186e-05,0,0,28,neg,Human_Phenotype_Ontology
