rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,MBD3 35695185 ChIP-Seq nicBasalRootGanglia Mouse Embryo,7.257316314270943e-08,2.3276578493969797,38.263600742181524,MAST4;SLC4A2;CRKL;ALDH2;AKT1;CPNE2;KIF21B;PELO;NFRKB;CPT1A;PAQR7;ACTN1;HDHD5;KCNAB2;DYNC1LI2;PTP4A3;PKM;BDH1;RILPL1;MAP7D1;RRAGD;TESMIN;PKP4;ARHGEF2;PPARA;TKT;VGLL4;RTN4R;HOMEZ;CEBPA;HDAC5;PEX11A;LRP3;ASAP1;AK4;HDAC7;FAM171A1;SYNGR1;RAB11FIP1;NACC2;TSPAN2;CAMTA2;MSC;RAB11FIP4;VAT1;RAP1GAP2;TCAF1;RBPMS;CMTM4;PTCH1;NEK6;STARD10;NFXL1;PARP16;NR2F6;ALDH4A1;COPRS;UCK2;EFNA3;PDP2;NR6A1;YEATS2;LPCAT4;VAPB;RAB15;NFIC;PAM;NECTIN1,2.503950552682652e-05,0,0,22,neg,ChEA_2022
2,SOX2 27498859 Chip-Seq STOMACH Mouse,1.0239565587766227e-07,2.8844088851458047,46.42289251522917,CEBPA;ATP2A3;SNX33;SLC4A2;FRY;KHK;PPP1R9B;FAM171A1;EIF4ENIF1;MFSD9;SYNGR1;RAB11FIP1;ANPEP;AKT1;CPNE2;RFFL;RAB11FIP5;MAPK3;MPST;RNF44;CPT1A;RBPMS;CMTM4;PTCH1;CBX1;CYP27A1;TMEM177;UCK2;PDP2;TNIP1;ADI1;NFIC;TRIM35;CDC42EP1;PKP4;ARHGEF2;TAB1;SERINC2;ZSCAN2,2.503950552682652e-05,0,0,22,neg,ChEA_2022
3,OLIG2 26023283 ChIP-Seq AINV15 Mouse,1.312394101444189e-07,2.854131497379596,45.227260186404635,CEBPA;HDAC5;HTRA1;SLC4A2;CRKL;LETM2;PPP1R9B;EIF4ENIF1;MFSD9;ANPEP;KISS1R;AKT1;CAMTA2;CPNE2;RAB11FIP4;PGM1;MAPK3;RNF44;ACTN1;PTCH1;RASSF7;PARP16;NR2F6;CYP27A1;TMEM177;SPSB2;PTP4A3;PDP2;NR6A1;DOK4;ADI1;RILPL1;RAB37;VAPB;TRIM35;CDC42EP1;PKP4;TAB1;GPRC5D,2.503950552682652e-05,0,0,22,neg,ChEA_2022
