rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Regulation Of FOXO Transcriptional Activity By Acetylation R-HSA-9617629,0.004247232134539841,24.98989898989899,136.4820277236255,KAT2B;FOXO4,0.7707573186662487,0,0,5,neg,Reactome_2022
2,Vitamin D (Calciferol) Metabolism R-HSA-196791,0.0061478754316609515,19.98989898989899,101.78154350719133,CUBN;LDLRAP1,0.7707573186662487,0,0,5,neg,Reactome_2022
3,FOXO-mediated Transcription Of Cell Death Genes R-HSA-9614657,0.010888425001890752,14.275613275613276,64.52655688502057,PINK1;FOXO4,0.7707573186662487,0,0,5,neg,Reactome_2022
