rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,LMO2 human,0.004247232134539841,24.98989898989899,136.4820277236255,LYL1;LEF1,0.2701621895872507,0,0,5,neg,TRRUST_Transcription_Factors_2019
2,SOX17 mouse,0.0051570205394645754,22.21212121212121,117.00004466783103,LEF1;MBP,0.2701621895872507,0,0,5,neg,TRRUST_Transcription_Factors_2019
3,PAX3 mouse,0.016794888254868964,11.1010101010101,45.36628383483138,LEF1;MBP,0.2701621895872507,0,0,5,neg,TRRUST_Transcription_Factors_2019
