rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Hypoxia,1.007580566586236e-15,12.859804625323804,444.0647994685546,ERO1A;GPI;TPI1;PFKFB3;SDC4;GBE1;ADM;AK4;SLC2A3;ENO1;RBPJ;JMJD6;GYS1;LDHA;UGP2;NFIL3;RRAGD;PGK1;HMOX1;ALDOA;GAPDH,4.1310803230035674e-14,0,0,5,pos,MSigDB_Hallmark_2020
2,mTORC1 Signaling,1.7089170658264874e-09,8.596785975164353,173.54680844809113,ERO1A;GPI;TPI1;GBE1;AK4;SLC2A3;ENO1;IFI30;LDHA;NFIL3;PGK1;DHCR7;ALDOA;GAPDH;GLA,2.335519989962866e-08,0,0,5,pos,MSigDB_Hallmark_2020
3,Glycolysis,1.7089170658264874e-09,8.596785975164353,173.54680844809113,ERO1A;TPI1;PGAM1;AK4;ENO1;GYS1;LDHA;GALE;PKM;UGP2;RRAGD;PGK1;QSOX1;ALDOA;CD44,2.335519989962866e-08,0,0,5,pos,MSigDB_Hallmark_2020
