rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,NFATC1 mouse,0.000330570754905644,27.395939086294415,219.56995457412373,ITGB3;IL2RA;FOXP3,0.057402118987122455,0,0,237,pos,TRRUST_Transcription_Factors_2019
2,RELA human,0.0009359483251668758,3.5284861638632665,24.60748710984857,TNFSF14;CCND1;ERAP2;TNFRSF9;TNIP3;IL2RA;PDK4;HMOX1;HLA-A;FOXP3,0.057402118987122455,0,0,237,pos,TRRUST_Transcription_Factors_2019
3,NFKB1 human,0.0009840363254935277,3.5040416741512486,24.26145104550499,HOXA9;TNFSF14;CCND1;ERAP2;TNFRSF9;TNIP3;IL2RA;PDK4;HMOX1;FOXP3,0.057402118987122455,0,0,237,pos,TRRUST_Transcription_Factors_2019
