,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16
TMEM248,-0.17785877,0.46230927,0.10216236,-0.08241609,-0.064156204,-0.20818412,-0.12187064,0.40122047,-0.22127703,0.13036281,0.003965944,-0.18576235,-0.043993443,-0.055219978,0.9877764,-0.16598552
TMEM25,-0.3483504,0.3552735,-0.101047754,0.6504178,0.011736155,-0.3070563,0.22268891,0.37806034,0.033921003,-0.24570525,0.061815977,-0.30049086,-0.37449002,0.07302463,0.96413493,0.12906194
TMEM250,-0.36694407,0.24704635,0.014731288,-0.14145076,-0.10623634,-0.025260448,0.036233664,0.25404096,-0.0006198883,0.47232807,-0.10317564,-0.5315125,0.08545518,0.0010848045,0.289613,-0.02784729
TMEM254,0.09282529,0.19116104,0.14977455,-0.33515394,-0.036111474,-0.100530684,-0.29786974,0.346303,0.13102889,0.54825246,-0.011837482,0.047013164,-0.04938692,-0.009098649,0.95056295,0.27127862
TMEM255B,0.04144311,-0.12020916,0.110416114,-0.4398182,0.05259514,0.09254068,-0.119546056,0.010859966,-0.5107418,0.33733398,0.011484325,0.48456043,0.04694462,-0.2696991,-0.33813715,-0.17662048
TMEM256,0.69230944,-0.62892437,0.053165853,0.013779104,0.1625076,-0.10552257,-0.38874596,0.17888099,-0.33282936,0.3597468,-0.14370978,-0.19901544,-0.041894615,0.25701374,0.4487306,0.6913215
TMEM258,0.5952716,-0.15691221,0.21531433,0.07042885,0.022277236,0.11547655,-0.16835183,0.30403286,-0.111445785,0.08368194,-0.039875507,-0.07119626,-0.10461956,0.027993321,0.621669,0.74950904
TMEM259,0.28908253,0.53476095,-0.12543201,0.5934894,0.19522905,0.15630722,0.35086274,0.30551553,-0.10186434,0.14029145,-0.17940998,-0.13340712,-0.17623901,0.2128005,0.96390545,-0.25404096
TMEM260,-0.10243058,-0.52256584,0.064224005,-0.2888143,-0.16070604,0.26664734,-0.35778284,-0.1400888,-0.2078414,0.079602,-0.074881315,-0.09928942,0.53769946,-0.20493269,0.10049939,-0.83782077
TMEM263,-0.23833215,0.1572594,-0.046755373,0.5762249,-0.0838235,-0.23942441,-0.10159761,-0.10288358,-0.048439205,-0.36349893,0.29338896,-0.06463379,-0.0428468,0.21278262,1.2075037,-0.15784949
TMEM267,-0.14561266,-0.08807182,-0.075662136,0.26279092,0.00988692,-0.13833046,-0.34376234,-0.18675476,-0.035338104,0.16424209,0.11398345,-0.16372949,0.2891153,0.21131486,1.33885,-0.3307119
TMEM268,-0.008856505,0.5893346,-0.014100596,0.2696734,-0.24606213,0.010504574,0.09911507,0.061378628,-0.16599558,0.03211461,0.29596427,-0.05702898,-0.15352257,0.09529814,1.134386,0.04028119
TMEM273,-0.09354353,0.12649149,0.22209883,0.04284084,0.033810735,0.17618537,0.47999918,0.3237784,0.07221103,-0.11225343,-0.040721893,-0.5547881,0.05262494,0.2091974,0.9162858,0.23144633
TMEM30A,-0.08434653,-0.22192597,-0.038397312,-0.25156736,0.15540719,0.14147162,-0.41862428,-0.23445487,-0.049197674,0.13567209,-0.06972253,-0.11880696,0.47161877,0.065511465,0.53628683,-0.759843
TMEM30B,-0.19344091,0.2521038,-0.0074207783,0.5383551,0.04146099,-0.25743246,-0.350672,-0.11091232,0.038027763,-0.22275448,0.43759346,0.1729548,-0.3900826,0.07879734,1.1717558,0.009250641
TMEM33,-0.10175705,-0.19390583,0.13729334,-0.57537556,-0.017642975,0.21111965,-0.22727251,-0.17306805,-0.23137331,0.2801895,-0.086557865,-0.26876926,0.47639608,-0.0880599,0.19204617,-0.4842639
TMEM38A,0.5331844,0.23598075,-0.21476746,-0.5419791,0.13157725,-0.14294684,0.11435747,0.37755966,0.15236735,0.17386228,-0.07736534,-0.17383099,0.15846193,-0.16092658,0.22289008,0.16714633
TMEM38B,0.19295141,0.010460615,-0.015549362,0.23933202,0.035702437,-0.0014007092,-0.18804148,-0.053054094,-0.10417849,-0.07639527,0.17826408,0.053226948,0.18576086,0.30194372,1.2603447,-0.087824464
TMEM39A,-0.0405401,-0.26093125,0.06841421,-0.52152276,0.3736794,0.03219247,-0.20366609,-0.14973581,-0.35896003,0.3784895,-0.055992603,0.41633844,0.31189322,-0.18501282,1.1113971,-0.5228758
TMEM39B,-0.010827184,0.58136284,0.05109012,-0.03390014,-0.20583719,0.09344518,0.12245774,0.33926815,-0.14650226,0.2988577,0.08869469,-0.13569146,-0.1546681,0.059697032,0.89097023,0.016182661
TMEM40,0.24756193,-0.28163344,-0.45118332,-0.55276304,-0.29023588,-0.14911741,0.15167296,-0.015725195,0.1366742,0.19362718,0.13023466,-0.7349931,-0.062935054,-0.013808906,-0.4868418,-0.16605183
TMEM41A,-0.22981167,0.25042892,0.107461214,0.38911253,-0.15974939,-0.08968562,0.02220124,0.19690543,-0.035521388,0.10672063,0.089776516,-0.029052794,-0.106173754,0.10729432,1.460214,0.04633069
TMEM41B,0.040134788,-0.14697611,0.028017163,0.20700097,0.12979507,0.12738109,-0.42474866,-0.13971329,-0.35377443,0.16167164,-0.18025637,0.16136467,0.26746094,0.009447336,0.8107245,-0.65648854
TMEM42,0.3653437,-0.11224747,-0.067825615,0.3268957,0.2629757,-0.036254525,-0.072449446,0.3589481,-0.22717714,0.18949509,-0.062799454,-0.45342147,-0.0746429,0.37302524,1.2428015,0.40331483
TMEM43,-0.30041635,-0.0040620565,0.09432733,-0.29289424,0.011155009,0.37585497,0.053921342,-0.09641945,-0.07867515,0.0096052885,0.0010341406,-0.33496916,0.33246875,-0.025722384,0.41952133,-0.74729025
TMEM44-AS1,0.14187396,-0.031210482,-0.064474344,-0.37147254,0.31106174,0.22253692,-0.25918484,-0.07891953,-0.039738417,0.57495534,-0.20053983,-0.41911155,-0.021800399,0.061160326,0.39203614,-0.15719384
TMEM45B,0.31754375,-0.2202034,0.012758374,-0.33528805,0.043669343,0.09366274,-0.16853511,0.2150923,-0.37868023,-0.023302436,-0.06777048,-0.058287382,0.25645494,0.043669343,-0.13155043,-0.3567338
TMEM50A,0.0028014183,-0.14096498,0.09610057,-0.50802827,-0.21817088,0.18857121,-0.25238395,-0.076544285,-0.3574252,0.20626783,-0.04504323,-0.38064718,0.34615993,-0.027221441,0.37226677,-0.43990612
TMEM50B,-0.19928962,0.058066845,0.055475533,0.35760254,-0.023245811,-0.20216405,-0.09521693,0.22997558,-0.015150011,0.05353391,-0.024527311,-0.268659,0.09972453,0.40229708,1.336816,0.11007786
TMEM53,0.40526688,0.27896166,-0.093743205,-0.11165738,-0.009763241,-0.10960698,0.19557476,0.13074577,-0.24777651,0.584507,0.037640333,0.2788037,-0.22835433,-0.11031628,0.5571127,0.50684214
TMEM59,0.119420886,-0.44564903,0.25310814,-0.5002439,0.07656813,0.28351247,-0.24843514,-0.00011622906,-0.33510327,0.20417273,-0.1698196,-0.5275309,0.38678646,0.03401339,0.040844083,-0.049707294
TMEM60,0.24145842,-0.32891035,0.12580752,-0.53203106,0.0949502,0.17089844,-0.23331642,0.21007061,-0.1060307,0.24180412,-0.20929575,-0.42036176,0.41519403,-0.19207597,0.17454028,0.18327832
TMEM62,-0.04336983,0.5526513,0.11930168,0.121216476,0.07529855,-0.14763921,-0.21872222,0.39434433,-0.14340878,0.46656728,-0.10069013,0.11103153,-0.22022128,0.061152875,1.256086,0.06620884
TMEM63A,0.14691949,0.28537512,-0.12850761,0.48719049,0.19860268,-0.06157756,0.36923885,0.5938649,0.28098822,-0.6056547,-0.04259944,-0.20877123,-0.0718832,0.19051433,0.83265305,-0.019061565
TMEM63B,0.080587715,-0.13441145,-0.19419305,-0.13663694,0.14359877,-0.37976095,0.624181,0.11637434,0.13330504,0.027288124,-0.051873177,0.2062466,0.05832687,-0.28197393,-0.03042221,0.7805042
TMEM64,-0.074356794,-0.12871325,-0.123128295,0.14190078,0.056239963,-0.35192966,-0.27691722,-0.03950596,-0.053817034,-0.06170273,0.10870099,-0.2027154,0.32369494,0.20967722,1.1304438,-0.32067895
TMEM65,-0.18964708,-0.037527084,-0.05363822,-0.25790334,0.1183331,0.15909076,-0.31989515,-0.30442476,-0.12784898,0.14429092,-0.00014305115,-0.28359592,0.36101937,0.1487881,0.7228613,-0.8533895
TMEM68,-0.09536296,-0.23182929,-0.07594526,-0.019800663,0.089761615,-0.031732023,-0.25340915,-0.07278323,-0.07356703,0.1290381,0.0075280666,-0.32910705,0.32865703,0.07624328,1.2056962,-0.18977076
TMEM69,0.04143119,0.017878413,0.14590621,-0.48252046,-0.22418797,0.064626336,-0.116449594,0.07447302,-0.1532793,0.5755156,0.022229552,-0.35144687,0.17316043,-0.13973117,0.89879036,0.06020069
TMEM70,-0.002425909,-0.31525493,-0.00667572,-0.401026,0.05686879,0.19457936,-0.31902194,-0.19246936,-0.3557086,0.28085113,-0.021141768,-0.38520098,0.45019984,-0.15134811,0.10430217,-0.2560675
TMEM71,0.3632784,-0.29645562,0.07587075,-0.19788146,-0.013822317,0.2872944,-0.32690167,-0.16013384,-0.07895231,-0.1720488,-0.02296567,0.005418062,0.16616583,0.22791028,0.26003122,-1.0079622
TMEM79,0.0016197562,-0.040993094,0.19496977,-0.1523301,-0.120429695,0.23314059,0.19372106,0.29386878,0.027121603,0.16706884,-0.13724118,-0.27487725,0.32013804,-0.097988546,0.15345216,0.022494793
TMEM80,-0.28517246,0.24546087,0.066530704,-0.3145218,0.0798136,0.1778543,0.062814355,0.34695864,-0.075000525,0.4831165,-0.20530224,-0.72455704,-0.0042170286,-0.083345175,0.29050708,-0.061297417
TMEM86A,0.18863678,0.5350888,-0.08184314,-0.09985566,-0.25309026,-0.16154349,-0.014281273,-0.33341646,-0.52202046,0.7944554,0.28002262,0.44285655,-0.23266375,-0.09610057,0.59851706,0.048714876
TMEM86B,-0.08217543,-0.044317544,-0.22843927,0.10398626,0.20119846,-0.19233674,0.78148097,-0.026965141,0.41140616,0.07877797,-0.04349053,-0.16072541,-0.016920269,-0.21336675,-0.4306689,0.9679884
TMEM87A,-0.1889795,0.0652194,0.012642145,-0.14593005,-0.11165738,-0.061535835,-0.4262358,0.08221567,-0.059849024,0.11924803,-0.064352155,-0.00039935112,0.25787354,0.024336576,0.9979516,-0.5241722
TMEM87B,0.024163723,-0.15711337,-0.0211671,-0.28267577,-0.009738654,0.0119410455,-0.38595945,0.020493567,-0.17136484,0.014840066,-0.0005118549,-0.23392439,0.4187137,0.14466569,1.0431454,-0.47023147
TMEM8B,-0.10719299,0.64097047,-0.075000525,0.53955317,-0.1312077,-0.19734502,0.18957257,0.29180646,0.061774254,0.046795607,0.15406609,0.020182133,-0.5528569,0.27353764,0.7477462,-0.018936396
TMEM9,0.44730604,-0.006982684,-0.10828078,-0.026319921,0.20083785,-0.049757957,0.15653074,0.09883344,-0.1603961,0.3468126,-0.02066493,-0.038325787,0.037047267,-0.042527914,0.47386587,0.519602
TMEM91,0.4100561,-0.3463298,0.10585785,-0.7370293,0.04952252,0.31829178,0.0436455,0.29948354,-0.26185513,0.15390217,-0.3111273,-0.4156351,0.2853781,-0.1418382,-0.51950514,-0.23320019
TMEM94,-0.23703575,0.5627513,-0.11181831,0.37752986,-0.15800595,-0.17071366,0.3765285,0.3228724,0.0067412853,0.018566847,0.09316206,-0.10088086,-0.07151961,0.12705326,1.0047138,-0.09936094
TMEM97,-0.11819452,0.115185976,0.085008144,0.3708765,-0.0042557716,-0.22378713,-0.04708171,0.25974363,0.2605006,-0.2655506,0.16517639,0.33279955,-0.3383875,-0.025205314,0.7764518,0.5564928
TMEM9B,-0.08991063,-0.04721582,-0.13324618,-0.20430684,0.037810206,-0.34088194,-0.41795522,-0.051125884,-0.07508993,0.5870342,0.0369817,-0.12535453,0.11243224,0.11140108,0.929752,0.11142343
TMEM9B-AS1,-0.33337176,0.32973886,0.076025724,0.31930953,0.1310274,0.14632195,0.13350993,0.16171038,0.11047274,-0.16842633,-0.043068826,-0.38483292,-0.0040069222,0.096040964,0.8863598,-0.03182441
TMF1,-0.16074702,-0.27221033,-0.06571598,-0.056694075,0.1493074,0.1392506,-0.22251643,-0.36851093,-0.24331026,-0.20492747,0.08057542,-0.16120635,0.46589226,0.21229759,0.9437185,-0.849966
TMIGD2,0.011277199,0.24977326,-0.139606,0.49105287,-0.00076293945,-0.17863512,0.6303191,0.30759573,-0.1958847,0.032234192,-0.041627884,-0.2384901,-0.2985537,0.29401183,0.7450342,0.26772022
TMLHE,0.052571297,-0.3038168,0.30360222,-0.8096695,-0.24029016,0.31728745,-0.13713837,-0.025826693,-0.3776431,0.31722784,-0.08971691,0.012844801,0.43662786,-0.38506985,-0.24930239,-0.3627956
TMOD1,-0.16711652,-0.42811632,-0.3704071,-0.12592375,0.19404143,-0.36072135,0.27140677,-0.42215586,0.38823187,0.13085008,0.2781242,0.33296943,-0.10711849,-0.023582578,-0.08723736,0.58823675
