rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Ventricular Compact Myocardium Morphogenesis (GO:0003223),0.0009754681839454337,66.65656565656566,462.10284137848555,DSP;NOG,0.4874178138998121,0,0,120,pos,GO_Biological_Process_2023
2,Golgi Lumen Acidification (GO:0061795),0.0034202318391573132,28.561327561327563,162.17255858986445,ATP6V1H;ATP6V1F,0.4874178138998121,0,0,120,pos,GO_Biological_Process_2023
3,Endosomal Lumen Acidification (GO:0048388),0.0051570205394645754,22.21212121212121,117.00004466783103,ATP6V1H;ATP6V1F,0.4874178138998121,0,0,120,pos,GO_Biological_Process_2023
