rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,BBSome-mediated Cargo-Targeting To Cilium R-HSA-5620922,0.0015052246919242,15.060913705583756,97.87806321199126,TTC8;BBS7;SSTR3,0.2664378630363774,0,0,157,pos,Reactome_2022
2,G2/M Transition R-HSA-69275,0.0024149672228245835,4.067357512953368,24.510179315931456,CDK11A;BORA;HAUS8;NME7;FBXL18;PPP2R3B;CEP41,0.2664378630363774,0,0,157,pos,Reactome_2022
3,Mitotic G2-G2/M Phases R-HSA-453274,0.0025672769803430683,4.0209888469307105,23.984834502114403,CDK11A;BORA;HAUS8;NME7;FBXL18;PPP2R3B;CEP41,0.2664378630363774,0,0,157,pos,Reactome_2022
