rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Complement and coagulation cascades,0.00021051995052031558,7.7206055069816,65.36210680281118,C1QB;C1QA;C5;ITGAX;F13A1;VSIG4,0.037051511291575544,0,0,96,pos,KEGG_2021_Human
2,Lysosome,0.0018327435570058002,4.988507689707622,31.43728225274594,PLA2G15;GGA1;CTSL;CTSD;GLA;SGSH,0.1612814330165104,0,0,96,pos,KEGG_2021_Human
3,Type II diabetes mellitus,0.010906030338555561,6.996930704757408,31.61520738006147,SOCS1;HKDC1;CACNA1A,0.5366088985919601,0,0,96,pos,KEGG_2021_Human
