rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Glycoside Catabolic Process (GO:0016139),3.3473033797170354e-05,75.36548223350253,776.6239908457204,GUSB;GBA2;GLA,0.03155669541691494,0,0,53,pos,GO_Biological_Process_2023
2,Positive Regulation Of Membrane Invagination (GO:1905155),5.3162099096467675e-05,60.28934010152284,593.3776232841345,APLP2;PLCG2;NCKAP1L,0.03155669541691494,0,0,53,pos,GO_Biological_Process_2023
3,"Positive Regulation Of Phagocytosis, Engulfment (GO:0060100)",7.91555905106562e-05,50.23857868020305,474.45791686900793,APLP2;PLCG2;NCKAP1L,0.03155669541691494,0,0,53,pos,GO_Biological_Process_2023
