rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,ATM human,0.02015437543575447,9.98989898989899,39.00390099361183,APLF;IGF1R,0.3143345971049439,0,0,154,neg,TRRUST_Transcription_Factors_2019
2,SP1 human,0.020745788102259962,2.2030075187969924,8.537561853596513,FXR2;PGLYRP2;AMACR;DNMT3A;NOL7;APOA1;PTK6;PPL;FBP1;IGF1R,0.3143345971049439,0,0,154,neg,TRRUST_Transcription_Factors_2019
3,CIITA human,0.0382674239788824,6.886450714036921,22.47156498788087,HLA-C;HLA-DQB1,0.3143345971049439,0,0,154,neg,TRRUST_Transcription_Factors_2019
