rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Autophagy,0.00046293959489226153,5.487843762455161,42.13519232726351,RRAS;BNIP3;ULK1;PIK3CB;MTMR4;ATG13;ATG2B,0.08934734181420648,0,0,40,neg,KEGG_2021_Human
2,Hepatitis C,0.001037419183970233,4.751295336787565,32.64624150228657,OAS1;OAS3;MX1;IRF7;EIF2AK2;PPP2R2A;PIK3CB,0.09159627215754237,0,0,40,neg,KEGG_2021_Human
3,Hepatocellular carcinoma,0.0015342652219323038,4.42419463843208,28.66747034750049,FZD1;SMAD2;GSTM3;GSTM2;GSTA4;AXIN1;PIK3CB,0.09159627215754237,0,0,40,neg,KEGG_2021_Human
