rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,L-serine Metabolic Process (GO:0006563),0.00011224655254723089,43.059463379260336,391.61775629527256,SHMT1;SDSL;PSPH,0.12582838540544583,0,0,225,pos,GO_Biological_Process_2023
2,Receptor-Mediated Endocytosis (GO:0006898),0.00022859739941952914,6.208380265825636,52.048255095605846,CUBN;DAB2;RAMP2;SFTPD;STON1;CLEC9A;LRP6,0.12812884237464608,0,0,225,pos,GO_Biological_Process_2023
3,Negative Regulation Of Smooth Muscle Cell Apoptotic Process (GO:0034392),0.0014535707837741265,49.98989898989899,326.6206097208578,LYPD3;LRP6,0.3828760199384404,0,0,225,pos,GO_Biological_Process_2023
