rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,MEIS2 mouse,0.0014535707837741265,49.98989898989899,326.6206097208578,KRT19;CDKN2B,0.1962320558095071,0,0,205,neg,TRRUST_Transcription_Factors_2019
2,KLF5 human,0.007218101036314867,18.171717171717173,89.6077061786221,CDKN2B;CCND1,0.3236627866618214,0,0,205,neg,TRRUST_Transcription_Factors_2019
3,STAT5A human,0.007218101036314867,18.171717171717173,89.6077061786221,CDKN2B;CCND1,0.3236627866618214,0,0,205,neg,TRRUST_Transcription_Factors_2019
