rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,HEY1 mouse,0.0014535707837741265,49.98989898989899,326.6206097208578,ID1;RUNX2,0.09375531555343115,0,0,160,neg,TRRUST_Transcription_Factors_2019
2,HIVEP2 human,0.0014535707837741265,49.98989898989899,326.6206097208578,HLA-C;HLA-F,0.09375531555343115,0,0,160,neg,TRRUST_Transcription_Factors_2019
3,AR mouse,0.007218101036314867,18.171717171717173,89.6077061786221,PSAT1;RUNX2,0.2700906520492796,0,0,160,neg,TRRUST_Transcription_Factors_2019
