rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Extracellular Structure Organization (GO:0043062),0.0007998302327363043,5.914422980682614,42.17640714227474,SPINT1;COL13A1;COL4A1;MMP28;ST7;COL9A3,0.40363389211239487,0,0,164,neg,GO_Biological_Process_2023
2,External Encapsulating Structure Organization (GO:0045229),0.0008390457705788057,5.857256145915939,41.48838206209657,SPINT1;COL13A1;COL4A1;MMP28;ST7;COL9A3,0.40363389211239487,0,0,164,neg,GO_Biological_Process_2023
3,Positive Regulation Of Cholesterol Efflux (GO:0010875),0.0013185462203513692,15.854394870424793,105.13406751270358,ABCA3;NR1H3;ABCA7,0.40363389211239487,0,0,164,neg,GO_Biological_Process_2023
