,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111,PC112,PC113,PC114,PC115,PC116,PC117,PC118,PC119,PC120,PC121,PC122,PC123,PC124,PC125,PC126,PC127,PC128,PC129,PC130,PC131,PC132,PC133,PC134,PC135,PC136,PC137,PC138,PC139,PC140,PC141,PC142,PC143,PC144,PC145,PC146,PC147,PC148,PC149,PC150,PC151,PC152,PC153,PC154,PC155,PC156,PC157,PC158,PC159,PC160,PC161,PC162,PC163,PC164,PC165,PC166,PC167,PC168,PC169,PC170,PC171,PC172,PC173,PC174,PC175,PC176,PC177,PC178,PC179,PC180,PC181,PC182,PC183,PC184,PC185,PC186,PC187,PC188,PC189,PC190,PC191,PC192,PC193,PC194,PC195,PC196,PC197,PC198,PC199,PC200,PC201,PC202,PC203,PC204,PC205,PC206,PC207,PC208,PC209,PC210,PC211,PC212,PC213,PC214,PC215,PC216,PC217,PC218,PC219,PC220,PC221,PC222,PC223,PC224,PC225,PC226,PC227,PC228,PC229,PC230,PC231,PC232,PC233,PC234,PC235,PC236,PC237,PC238,PC239,PC240,PC241,PC242,PC243,PC244,PC245,PC246,PC247,PC248,PC249,PC250,PC251
SEX,0.0009247597402913688,0.019249234397709813,0.007564667605279291,3.044458537099407e-05,0.000176534933310943,3.727118279037685e-07,0.012058876455074526,0.018254161254544994,0.003441151875358686,0.002017655465867163,0.006295708444517386,0.0048675282539181125,0.022551524265803116,0.0007435540074576969,0.0007142966139009536,0.019199844855256824,0.004885299297940126,0.0011938215739702239,0.00044973520248047216,0.00691170096185579,0.0009316308014986228,0.010929237224017754,0.0013033214663632185,0.011878094993747375,0.014362112457156007,0.00418415255631532,0.001336854886557448,0.00026581460665933606,0.014072459665752204,0.0023191160784047753,0.01480568184459359,0.03166218961585264,0.03503197051107401,0.003021581550785688,0.0014944249720054053,0.06538897938820978,1.5026473041989859e-07,0.0004180303949579003,0.00812380963936139,0.007196567376888741,0.02229240715250064,0.06649179988776754,0.05002822769247701,0.03703460275296135,2.4348658586634854e-05,0.0003053040501049299,0.003578635771313925,0.026517579257020404,0.046164932186426685,0.220211726868687,0.00018505869539168425,0.00026450271497042565,0.0070911889252866,9.413832750681196e-07,0.032645999112716,0.00843658892453707,0.0022534825860594005,0.024896679199652393,0.0029776815506068707,0.0063613928278023054,0.00241585963792675,0.0007777517258068601,3.1947583798545387e-06,0.004070936092335763,0.00020902715712414107,0.001041081321970204,0.00010882189029074992,0.004791989621009931,0.0010213613234355988,0.002903824420848067,5.371885367455057e-05,7.828703772202667e-05,0.0006748100864249543,0.003031677003661047,0.0020303627620167114,0.005078271683840877,0.0006304122669868157,0.003474505914369578,0.003246536570597208,9.641392879252309e-06,0.001956140485763436,0.0014090116820401916,0.0016289810626961007,1.422143934508003e-05,3.480463337315584e-05,0.00017341460723158304,0.0013817309334801242,0.0037923557663513763,0.00029705520015464894,2.098264015504153e-05,8.613998405879972e-05,2.1881810363393874e-06,0.00012130789399456593,0.00038029784149317737,0.001840211373199519,0.0001720881110371971,1.7325926308099544e-06,1.9091444291932168e-07,4.8958840486659885e-05,0.0001193841955114579,0.00048372676396536484,0.00037708612468430065,0.0011995333811752578,9.23464742746131e-05,0.00012034408641860312,0.0002956069393570598,0.0006212201402577513,4.7634792255550557e-05,0.0010671486506904496,4.27318571787036e-05,0.00023537159616831034,0.00013204113266117917,0.0001188331070315405,0.00022643156768854282,0.00022858258919889734,0.0005504735903314732,3.579133348789769e-05,0.0003145162928936044,0.0007089806571475587,0.00016387306014128153,5.5280508026478496e-05,3.356410609690917e-05,5.457279919331703e-06,0.00036409855193599895,0.00021799453756675538,4.654592602124304e-05,0.00021890962724550978,0.00021906925095806895,0.00028950196544663936,3.159148452867697e-05,0.00015119986624419543,0.0002524521938092417,1.3193785039601636e-05,3.0047340414902243e-07,5.1102523393241257e-05,7.307790455232946e-05,0.00013506344636464397,0.00010063702612272782,0.00010040689929659261,0.00014877256495053756,7.800279677390188e-06,7.123021683708614e-05,6.762563398640578e-06,0.00016386408202849587,1.8280933381766257e-05,1.8114212181411567e-05,2.556234651207134e-07,8.878939373447847e-05,8.23885129397981e-05,5.784829267068464e-05,7.324849975507814e-05,0.00014445339786652082,8.685752169509493e-05,0.00036683307766801,0.0004259473983678468,0.0003593936283720573,5.216302237974411e-05,2.0898558247273378e-05,3.3750120588890523e-06,0.00011258241325124459,1.2346640647282506e-05,0.00021986882691234008,8.504863627826984e-06,0.00013228549908740085,0.00021009797955682567,0.0003473844821327427,4.212627202588668e-05,9.601589253373922e-06,9.067356771361252e-05,2.525271029044918e-06,1.262674968570403e-06,4.1124221015273914e-05,0.0001743281309143068,0.00013835286653667787,8.549820154087051e-05,0.00017686447726228809,6.207649879190147e-05,9.83293026888571e-05,9.366475565646586e-05,2.1416329359571147e-06,3.1162137714329833e-07,0.0004231434210991727,9.083916283822785e-05,6.416725602172289e-05,6.417511341463017e-05,1.93684557072306e-05,1.0887837238340486e-05,9.613022109244177e-08,5.554144064425033e-07,0.0002544654034165725,0.00019782860380749529,7.159487895364982e-06,4.548571608754174e-05,1.2127444581655718e-06,5.022906555342802e-05,4.717711079638236e-06,6.838220420474349e-07,8.679031232556027e-06,0.0002470335660651172,2.1587220782660307e-05,8.583166515864557e-05,0.00012344375472148376,2.136756476355828e-05,7.738658707896862e-05,1.9903083690215566e-06,1.5836537723389385e-06,5.2439081774552745e-06,0.00011233406260580558,1.9662873736252057e-05,0.00010012983906118788,0.00020730382076007944,0.0001397459273054863,9.32663112428599e-06,6.817576289156193e-06,0.0001613733093302217,1.5821522523581004e-07,8.020690144665061e-05,6.0863856711317444e-05,4.009001016244893e-06,1.7857650940664867e-05,0.00016615705885381226,1.4738186077547797e-05,6.236746192037819e-05,0.00018115381825055277,3.2316336088948576e-05,1.5466540306711392e-06,2.9026928750107006e-05,4.307068855756636e-05,1.0343543233699246e-05,0.0001865797267929549,8.23117513406191e-06,2.4570329883093815e-06,8.614699474284457e-05,1.3001827151146792e-07,4.883004776385668e-07,1.6243310389269957e-05,9.655230531167747e-06,9.40843394448564e-06,3.4767558145634225e-06,1.452233057300527e-07,2.4286141167015442e-05,2.1651606661544382e-07,5.357477261615335e-05,3.321405948069566e-05,1.0765802914820037e-05,4.97991055067289e-05,6.042429212107256e-06,3.956861554544153e-05,2.3540446343950015e-05,1.231732877965923e-05,7.716841826830343e-06
SMCENTER,0.09011621286765051,0.09800786654839148,0.029688686370615964,0.005837226294198752,0.03976224432999953,0.0007596969559144043,0.024860153398140503,5.5989996441286305e-06,0.03212843003359252,0.03134851886879087,0.00016779622543721442,0.001500193746995166,0.00668312970352629,0.0013168132808436572,0.004785865841934466,0.007489581320998216,0.004232913084922689,0.00012032521566860241,0.009485341667748474,0.0026774691158650784,0.02290437274343979,0.0017004077884391336,0.00820739121467119,0.0028849030528192497,0.0015418770405957922,0.007714777271122294,0.008474741963720105,0.00162866414377953,0.006778186637753609,0.0008105102450192842,0.0024112801655388452,0.006124876287614468,0.0019507678597574585,0.0017228454714806407,0.007818611569148027,0.004935079758357694,0.0025745667550738896,0.005920734248182778,0.00500410040636934,0.005828601041717702,0.011396601287985676,0.0006203434473542102,0.009905397350972515,0.002646739096738759,0.0026136344149202285,0.003878547372026482,0.0008601601964186296,0.0008191509909514667,0.004142924619846535,0.0018835921725268222,0.0002624687612495873,0.00038316816411135913,0.00023146745686623154,0.012853383958125558,0.0033511374957596466,0.009906352472993455,0.0024095367950696766,0.0025633709499276337,0.009510314079003806,0.0003560593546577601,0.008042040866908882,0.014524952395839178,0.0011200113280971588,0.001525951022768661,0.01678598635534715,0.0004924900777955108,0.0019463124628629257,0.008238984101837701,0.0031885219679348297,0.0007856701725218558,0.0033325665747798885,0.0041469663739888895,0.013796759105227674,0.0004018637102736905,0.0003939868647813103,0.0003684032102438154,0.008865206270999772,0.005447134390072582,0.009933921493513144,0.0034681583022639502,0.0002472856892269656,0.007377146121601203,0.0009686345850205711,0.00439739371684207,0.004411898608002675,0.01185045632426807,0.00503358853245854,5.727889633553922e-05,0.007306521225818397,0.0037691764911053117,0.0007637984431509246,0.0018133200945609435,0.0035068111124630127,0.0005095187806174977,0.008731632881845626,0.00815392713458609,0.0006091931184057135,0.005718860465094116,0.0002454554524991871,0.02322701152870346,0.0067335718474472546,0.004947727101698626,0.00023553184190312063,0.0027794626448797055,5.562555096968662e-05,0.007679669579349566,0.004586569440962125,0.0015402395126992631,0.0010206963808511366,0.002945200987430859,3.835405240355721e-05,0.0017052128481952124,0.009128403752648867,0.02026394105693247,0.0012325610947055768,0.016923080180665646,0.0006318856875163874,0.009538403546977416,0.00010394396093788955,0.0010245097787358742,0.0010760227740116454,4.917460127140704e-05,0.004600654513149787,0.0006720056977650034,0.0023927993729748204,0.003906222290228363,0.0009875681064195336,0.0008352220729959416,0.0017426451498087862,0.004954101759137687,0.0015792630082865763,0.00037242392612915414,0.004968337023437619,0.007172866081695267,0.004016794503250477,0.006747128806894941,0.000632698672828697,0.0051625831290775595,0.008226716445656323,0.004415762855884147,0.0004344739320730631,0.00229586681334207,0.01299681961321043,0.0014086378737944354,0.005655519966526412,0.0009519458056668117,0.0037732793587743896,0.004015198323929337,0.016865421683725058,0.002891996697527142,0.006012703246151266,0.00416274978702638,0.0016605989412911196,0.000587951086415351,0.008538915887795095,0.01411000955586918,0.005010270469899786,0.001205762323299411,0.006314365576721617,0.009737952297264884,0.001111791173358873,0.00020712407873316847,0.005518045285022358,0.0023921627637816852,5.4298215782758775e-05,0.0039720612758553375,0.003327839260383752,0.0018008731003336614,0.0017351803575828058,0.0017255767500919635,0.0016808292545233833,0.0004771152993547397,0.003590247995329781,0.00214073320538529,0.012587304426326898,0.0021320589780309267,0.0004446334200473105,0.0005291796742735595,0.002013345129473639,0.002746307074850162,0.0037019420845727886,0.0006961826009062658,0.0010936491696145396,0.003254732707210024,0.00028284851333914196,0.005402968547699166,0.00688480987100097,0.003383768613876303,0.01208787592448686,0.0020297332924551982,0.002479901355979343,0.001609597411995491,0.004235171754425985,0.0007942771860605591,0.00012430102956797348,0.00031355476810968655,0.0008736757443942683,0.0055267113045813325,5.951760352945422e-05,0.0015355284151290951,0.005011111446440193,0.0003129569286451629,0.002344389377059991,0.0009646845730525305,2.252741566546843e-05,0.0013269558294326659,0.004265542006422173,0.0014359815197979178,0.002182388795208563,0.0017067755051771414,0.010995808441928863,0.0014881260768509698,0.0036545711065710056,0.006009518593616854,0.004378646934820696,0.0022038066925318496,0.0031021503451274467,0.002213993977199322,0.0008395160273621913,0.0013866381831897491,1.3924229145770554e-05,0.00019218536988746247,0.00018190432088915594,0.0006226863115682669,0.001983768098651395,0.00113395913520106,9.354260140111046e-05,0.0011830039081748894,0.0019433969774462656,0.0018166756938027726,0.0028160814632429607,0.003433472423699449,0.0014331410238556971,0.005863618947769222,0.008793102940945974,0.0041330864414933855,0.0021037827839495643,0.002781878120157802,0.00011311394742649629,0.0005738636077020587,0.009846852454054734,0.0007472101844458725,0.0002164837377637798,0.002583296104596333,0.000823287196032172,0.003207853963594528,0.0026133465096655254,0.005837085477114905,0.001860069912621741,0.0008082265629067832,0.002026245181601635
SMNABTCH,0.19511698443385705,0.14832599880134228,0.2260165028973598,0.1814634277837543,0.10362104205727357,0.22965783143363266,0.17991980875272717,0.1071649515325739,0.1547342865396749,0.16816254595846122,0.1524092457562049,0.11317145782401783,0.1529207964267147,0.16586885549825886,0.25471778111669574,0.20327559383231203,0.2291988128223485,0.15182443588292144,0.1719137458403253,0.2669631641473588,0.2830934287909233,0.1758484548192851,0.15657492354658212,0.20991643004983643,0.19970685789273537,0.18715826971642058,0.16779614037379703,0.1731921543935376,0.21133211122983428,0.1407170550730368,0.13587762145348298,0.2517083077632848,0.2404526604607092,0.2619743222674095,0.1802359243711655,0.1897503510083929,0.18626366947392992,0.16086089419319224,0.2025427499997764,0.22489616867558596,0.1687308986735446,0.14634809623639744,0.1983951868183616,0.19689273718284778,0.2431721631193231,0.17202110818083113,0.15053266170279442,0.18995559290541594,0.2919374729282108,0.11410529770830712,0.13057689898145128,0.18649288050315158,0.2362799333676342,0.222101658521501,0.2204373200018441,0.16048499356149407,0.15465927391312725,0.21514828876270342,0.2437188791045636,0.2076046394740232,0.181425451633043,0.18943905354403456,0.16073950985026597,0.13169044086706724,0.1507082731839644,0.11660037450728578,0.08392795142352333,0.17625243488551365,0.21901026118979813,0.2354245926953699,0.1508560571834783,0.12927834622643275,0.1989398705540849,0.22777903920952225,0.1421858054898391,0.12169145529548522,0.18431435765987397,0.19215271282579402,0.3147221302038445,0.2331336553067213,0.1653954077500059,0.19739043843608545,0.20773996212764578,0.2176083083824447,0.19445993117027174,0.19457129976527784,0.13872113320865934,0.18090537041173435,0.22596176554970876,0.14962853922136463,0.20643368050011382,0.15866587345182948,0.13955971595289576,0.22745280095110373,0.17993291180692952,0.18753998630503055,0.1677787663241127,0.2061623332777808,0.14880736354139185,0.2907843966940323,0.16358304275297797,0.16013712456569348,0.156230119363524,0.16343310706855882,0.1467819188533799,0.12594585226299823,0.18517968754145872,0.12886076944047986,0.21083436663487629,0.18272477529338219,0.22775803406246906,0.1796182634291464,0.10602604566060841,0.17456451022761688,0.17170112433818063,0.28888359474393627,0.15957145079273258,0.22926348406592503,0.17148347020732255,0.2004451965053339,0.19617699523122623,0.18012438995699057,0.21080682608926476,0.14673014703045137,0.18359059886104268,0.25678675102227655,0.12431583532793156,0.1294006822932834,0.18954213190938984,0.12496880847922331,0.1889780263454968,0.12005279055712723,0.14058176195169114,0.1814453241398761,0.16530972985614983,0.10818872155561202,0.18772134001565646,0.20057851371084767,0.1511030258995697,0.20645124069469084,0.07584411173836438,0.12692996154104386,0.21058467911497708,0.11187996829212526,0.15139635516835076,0.1900440807710014,0.11025637349784392,0.11275989625847209,0.16800192017571416,0.1564912246406579,0.15702003955126562,0.13419246312421027,0.12331483546083134,0.14843798518216858,0.14565758434793305,0.12868464379166117,0.1776806867713658,0.23357075662667642,0.136411703984266,0.1738424999250692,0.2200849807222201,0.16410103809248036,0.12047542375623337,0.20011761366287245,0.22317639982455975,0.20388288867678983,0.13127116575762704,0.09794577821849317,0.16936437441808594,0.1710217516653298,0.18685312315036218,0.1418146462208613,0.18492432619470198,0.17375840437695725,0.20733766577507964,0.1511100174064437,0.20514550493639322,0.2313060277833796,0.16262336636771732,0.1453612553545954,0.10226213173132523,0.26003831268754657,0.09985667464777097,0.12139297342400238,0.16873439691110162,0.14092768375058906,0.19459242630665066,0.21963400019210355,0.1657272167008534,0.11062801690733479,0.28024296103664215,0.17952907247926553,0.19567244088204905,0.20574915976271857,0.1261472847527567,0.16623299695239918,0.12927786081867962,0.12277923707377689,0.1598218934760623,0.19708586158844368,0.21244287710438037,0.19623839898321246,0.17385383918511835,0.10890592164530306,0.2207509162792356,0.18272797684363218,0.16345489297775906,0.15215994671738572,0.16093365293765757,0.13106308471528097,0.12049604456162491,0.22397834491422783,0.1691266815329159,0.24021018624813986,0.20152884279571562,0.14338994956773354,0.1500373587113219,0.1885924715215658,0.19993028594374168,0.17508967131880504,0.12149556592224262,0.2103772223969052,0.15667856685283352,0.15094226471654887,0.14797923788802445,0.13950080459398828,0.2116331109413533,0.11102168700014935,0.12282071172290625,0.19609828745460586,0.17910268121992914,0.2701842181881332,0.1262115652405351,0.17126268207216722,0.2309109220985141,0.16803261976343303,0.13585956329520307,0.17892646430534745,0.2128750029785571,0.19350464658038077,0.1961950006190377,0.1509115141464823,0.13722721842680202,0.15848253436867238,0.10960608396011418,0.22078839219437993,0.18027765465747791,0.16903887265430345,0.15502092324362557,0.1618023494412888,0.1950897941436523
SMGEBTCH,0.1071283903387521,0.20442989238917703,0.11901782335774494,0.085832463253103,0.06301174953239155,0.10034521717749446,0.06962631549004777,0.09461390312304786,0.08814017003612316,0.1253461865188124,0.06894632466696088,0.10240407784826581,0.09567183929661668,0.10098200892437138,0.083193397642014,0.09489511915207792,0.1542299344326142,0.08901523594650321,0.10935293988878765,0.0912139357501541,0.08259973408509708,0.05527623927123589,0.11571038331886514,0.12713670060804808,0.1607913645251912,0.12309504829019569,0.1404667121596167,0.14060210206969673,0.19245820847735806,0.07314946560402243,0.13099865897468105,0.2567881102176345,0.14067195365165763,0.13305355175276642,0.07411213300826293,0.17846419633954294,0.21332305308247895,0.10118175664643192,0.21778396046697773,0.15775460506622188,0.1354145754798925,0.0946772995434181,0.09418984107588363,0.09199280388355381,0.2006692753032345,0.15869395841493308,0.18474804058964597,0.10040434381134469,0.19509918524193917,0.11247605957393662,0.09879503987313343,0.08760636917856686,0.14035178281581864,0.08841622330784636,0.08767658245683352,0.19608285083002938,0.10051032054468051,0.061962859835135185,0.07765023115043375,0.13308534274660433,0.118666108671291,0.14011495581457675,0.07953926681142413,0.09928871601073504,0.05848600820041842,0.10327914147634878,0.10560260859625674,0.14889400467486288,0.20639066112198598,0.10407277517191438,0.071029392318991,0.16070997360273695,0.13486210260598977,0.1312043152453832,0.10025555998756577,0.08576731495782995,0.11144107033054292,0.1286112424969651,0.1255202068797689,0.17338331370082735,0.119970954220731,0.15271394934676993,0.11202016109841076,0.1439089934326992,0.11513358017243545,0.11933489179045964,0.08333454098321816,0.08635797326959643,0.10171829283730806,0.09364622399451668,0.10127460724749825,0.0835214689641396,0.09881599590861191,0.12495766270294531,0.1277973834663389,0.08912919566099047,0.08286745140182208,0.11178612013980564,0.09883007529011184,0.14202317789128505,0.08204737392697667,0.13861605375112665,0.08458489691904582,0.12632670282557834,0.11625234098137681,0.10968996387025122,0.13759750966177464,0.1043490797750095,0.1575852920273699,0.08089829952668647,0.09770826103365894,0.12055938109490297,0.07454277644571505,0.09819918214276446,0.1317315606458276,0.13696216709202655,0.12438361696053771,0.1319909573066437,0.09921768732146145,0.15206584266506162,0.10189121098753923,0.06342486573582926,0.11889068305343989,0.07831341905123128,0.0770075565035227,0.127774422539271,0.10871964855868863,0.12799438497821441,0.09184617799187292,0.11355062714241122,0.11018439550006613,0.08955152696488415,0.12003328135898061,0.06511836801782818,0.11381518860104238,0.10152675639991865,0.12047227643873913,0.07961052551382036,0.05863162118160557,0.058622367665777816,0.0812300470244468,0.1017941602088711,0.10031708831763109,0.13691020939859402,0.09025263279968619,0.14336842635645772,0.08322992810544357,0.13691162634523732,0.0772408307107318,0.08471458391332806,0.09571551744872381,0.05970644205193411,0.1244213215119804,0.07748175091833458,0.06435668350134831,0.05680448615080238,0.08236063644682272,0.09196229244214721,0.05361889481722695,0.06194267199309102,0.09703053431786038,0.11172590224128753,0.06535482620957492,0.08691956275464612,0.11725059231268173,0.10276849180942416,0.10419914287978953,0.06558319875932421,0.06467240817642674,0.09987138169981646,0.061259516491173234,0.07216575984797655,0.08757658533129932,0.05428265968399866,0.065700276368052,0.06493673643928995,0.05975650895703434,0.06540671013527616,0.0790250039046304,0.061372214169553053,0.1123962077175418,0.06960857047437292,0.04557750635872723,0.08359101129440456,0.08842885554660022,0.09187990417030195,0.07616253360112911,0.06929491586496316,0.12080443614338199,0.10567559174571188,0.1301331519977994,0.052631473715449954,0.08116353834637832,0.1427241542959286,0.1079745067986748,0.06565492964061792,0.05992158018516622,0.08538914501192302,0.05509103794693975,0.05958988301249986,0.07612637065094947,0.10448854914018593,0.10072995817777916,0.08602615384222835,0.06947620312906849,0.1113063370177854,0.0727991013856409,0.0743239573539457,0.09527678880239518,0.0811786905587472,0.0663719248777373,0.11126707960274504,0.08246786552552007,0.08837422471332979,0.09692771791848541,0.0883224369558885,0.12108504876539684,0.11961316054967183,0.06074299812546675,0.08480396807633277,0.08966918648869834,0.07406531944941369,0.10486427299389302,0.045031740711876905,0.08879873580211019,0.09748563177637991,0.05358509931292282,0.08074148292849452,0.09690054632261924,0.05294883787803935,0.09093715395699498,0.08417823462886954,0.07326397324524626,0.05545311016819381,0.07579080901777516,0.07165025160698606,0.07338776310122479,0.0730760219042894,0.0814388431700168,0.057583641219887134,0.06474634987554992,0.06132100953309292,0.07458623300466974,0.0423037213444847,0.0453854186466251,0.06119210152364331,0.07850730661440755,0.06890383090534624,0.0575383749875386,0.038650577310097675,0.10216060684560224
