pc,var_explained,cum_var,direction,library,top_term,top_adj_p,combined_score
1,0.3110959231853485,0.3110959231853485,pos,GO_Biological_Process_2023,Ribosome Biogenesis (GO:0042254),6.227572734384336e-06,182.91080320946276
1,0.3110959231853485,0.3110959231853485,pos,GO_Molecular_Function_2023,RNA Binding (GO:0003723),8.1025797136074e-12,132.69467741640744
1,0.3110959231853485,0.3110959231853485,pos,GO_Cellular_Component_2023,Nucleolus (GO:0005730),2.8777966062651214e-07,81.21014513729945
1,0.3110959231853485,0.3110959231853485,pos,KEGG_2021_Human,Ribosome biogenesis in eukaryotes,0.0024211432881809,92.33769299659328
1,0.3110959231853485,0.3110959231853485,pos,Reactome_2022,Metabolism Of RNA R-HSA-8953854,1.5962850437386842e-06,87.64322837054237
1,0.3110959231853485,0.3110959231853485,pos,WikiPathway_2023_Human,miRNA Biogenesis WP2338,0.1444710090556602,326.6206097208578
1,0.3110959231853485,0.3110959231853485,pos,MSigDB_Hallmark_2020,Unfolded Protein Response,0.0030402669162474,59.69548995485963
1,0.3110959231853485,0.3110959231853485,pos,ChEA_2022,MYC 22102868 ChIP-Seq CA46 Human Blood BurkittsLymphoma,5.761778478559129e-26,377.03480572564536
1,0.3110959231853485,0.3110959231853485,pos,TRRUST_Transcription_Factors_2019,NR1I2 human,0.3534454184696117,29.871707121892776
1,0.3110959231853485,0.3110959231853485,pos,Human_Phenotype_Ontology,Premature ovarian failure (HP:0008209),0.2134592574510893,159.51916044937724
1,0.3110959231853485,0.3110959231853485,neg,GO_Biological_Process_2023,Regulation Of Phagocytosis (GO:0050764),0.0021232494022386,186.1137510453516
1,0.3110959231853485,0.3110959231853485,neg,GO_Molecular_Function_2023,Protein Homodimerization Activity (GO:0042803),0.0029834569253088,37.70425923232132
1,0.3110959231853485,0.3110959231853485,neg,GO_Cellular_Component_2023,Cytoplasmic Vesicle Lumen (GO:0060205),1.3570759428305431e-09,372.90477708513663
1,0.3110959231853485,0.3110959231853485,neg,KEGG_2021_Human,Osteoclast differentiation,0.0001149794886012,126.77322582769185
1,0.3110959231853485,0.3110959231853485,neg,Reactome_2022,Innate Immune System R-HSA-168249,3.07811431278773e-15,225.58444563586824
1,0.3110959231853485,0.3110959231853485,neg,WikiPathway_2023_Human,Pentose Phosphate Metabolism WP134,0.0061687294276985,776.6239908457204
1,0.3110959231853485,0.3110959231853485,neg,MSigDB_Hallmark_2020,Complement,0.000221870877342,72.93349778920441
1,0.3110959231853485,0.3110959231853485,neg,ChEA_2022,SPI1 23547873 ChIP-Seq NB4 Human,1.2781578718334928e-14,149.88249522706192
1,0.3110959231853485,0.3110959231853485,neg,TRRUST_Transcription_Factors_2019,SPI1 human,1.2109962047825643e-06,322.18469279379707
1,0.3110959231853485,0.3110959231853485,neg,Human_Phenotype_Ontology,Obstructive lung disease (HP:0006536),0.1424572292817616,105.13406751270358
2,0.20210440456867218,0.5132003426551819,pos,GO_Biological_Process_2023,Endoplasmic Reticulum To Golgi Vesicle-Mediated Transport (GO:0006888),0.0003113071891674,150.50750052715415
2,0.20210440456867218,0.5132003426551819,pos,GO_Molecular_Function_2023,Dynactin Binding (GO:0034452),0.0340110037144352,330.92884130781977
2,0.20210440456867218,0.5132003426551819,pos,GO_Cellular_Component_2023,Lysosomal Membrane (GO:0005765),0.0024162271885086,47.61727744540079
2,0.20210440456867218,0.5132003426551819,pos,KEGG_2021_Human,Neurotrophin signaling pathway,0.0231671789354382,54.43010152798513
2,0.20210440456867218,0.5132003426551819,pos,Reactome_2022,Innate Immune System R-HSA-168249,0.0049894956212865,31.01495999717021
2,0.20210440456867218,0.5132003426551819,pos,WikiPathway_2023_Human,Toll Like Receptor Signaling Related To MyD88 WP3858,0.0034949359657111,231.46246946256952
2,0.20210440456867218,0.5132003426551819,pos,MSigDB_Hallmark_2020,Protein Secretion,6.670841738068442e-09,333.48665642204367
2,0.20210440456867218,0.5132003426551819,pos,ChEA_2022,SPI1 23547873 ChIP-Seq NB4 Human,4.5193040277080726e-17,187.2700775389612
2,0.20210440456867218,0.5132003426551819,pos,TRRUST_Transcription_Factors_2019,NRF1 human,0.4144600402200337,71.44588341233826
2,0.20210440456867218,0.5132003426551819,pos,Human_Phenotype_Ontology,Dilatation of the ascending aorta (HP:0005111),0.3823178205668391,75.62094298941223
2,0.20210440456867218,0.5132003426551819,neg,GO_Biological_Process_2023,Response To Unfolded Protein (GO:0006986),2.304879952889924e-08,763.1417994411703
2,0.20210440456867218,0.5132003426551819,neg,GO_Molecular_Function_2023,Ubiquitin Protein Ligase Binding (GO:0031625),2.7916646576962715e-05,99.70094448217093
2,0.20210440456867218,0.5132003426551819,neg,GO_Cellular_Component_2023,Intracellular Membrane-Bounded Organelle (GO:0043231),2.188641686635896e-07,49.276396537720494
2,0.20210440456867218,0.5132003426551819,neg,KEGG_2021_Human,Graft-versus-host disease,0.0006122370756247,212.80352569829228
2,0.20210440456867218,0.5132003426551819,neg,Reactome_2022,Cellular Responses To Stress R-HSA-2262752,8.397648759616635e-13,210.0964078521706
2,0.20210440456867218,0.5132003426551819,neg,WikiPathway_2023_Human,IL 24 Signaling Pathway WP5413,4.379245356130283e-06,132.91245453853375
2,0.20210440456867218,0.5132003426551819,neg,MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,3.5657729405040616e-12,335.60134998440384
2,0.20210440456867218,0.5132003426551819,neg,ChEA_2022,RELB 30642670 ChIP-Seq CTB1 Human Placenta Inflammation,2.1789916713063832e-12,538.0292238849509
2,0.20210440456867218,0.5132003426551819,neg,TRRUST_Transcription_Factors_2019,HSF1 human,8.028298856096825e-05,352.4065382588108
2,0.20210440456867218,0.5132003426551819,neg,Human_Phenotype_Ontology,Abnormality of the heme biosynthetic pathway (HP:0010472),5.247197699526136e-06,1022.337713540772
3,0.09455450624227524,0.6077548265457153,pos,GO_Biological_Process_2023,Ubiquitin-Dependent Protein Catabolic Process (GO:0006511),0.0235616706039151,44.70591910352186
