pc,var_explained,cum_var,direction,best_term_overall,best_library_overall,best_adj_p_overall,best_combined_overall
22,0.003418512875214219,0.8340882062911987,pos,Interferon Alpha Response,MSigDB_Hallmark_2020,1.9026169783559493e-42,6395.922041023115
22,0.003418512875214219,0.8340882062911987,neg,MBD3 35695185 ChIP-Seq nicBasalRootGanglia Mouse Embryo,ChEA_2022,2.503950552682652e-05,38.263600742181524
23,0.0032572525087743998,0.8373454809188843,pos,Hemostasis R-HSA-109582,Reactome_2022,1.135924324357135e-11,204.79824331889418
23,0.0032572525087743998,0.8373454809188843,neg,Interferon Alpha Response,MSigDB_Hallmark_2020,6.978763423987789e-24,1977.191172954916
24,0.00295275985263288,0.8402982354164124,pos,KDM2B 26808549 Chip-Seq HPB-ALL Human,ChEA_2022,6.385371045851955e-16,201.06583504854405
24,0.00295275985263288,0.8402982354164124,neg,Interferon Alpha Response,MSigDB_Hallmark_2020,5.5043139516191e-32,3519.9481477395166
25,0.002774336840957403,0.8430725932121277,pos,Neutrophil Degranulation R-HSA-6798695,Reactome_2022,1.4325156745731085e-07,123.12207301099346
25,0.002774336840957403,0.8430725932121277,neg,RUNX2 24655370 ChIP-Seq MC3T3E1 Mouse Bone,ChEA_2022,2.1882077679192925e-07,56.195219476361544
26,0.0027159189339727163,0.8457885384559631,pos,B Cell Receptor Signaling Pathway (GO:0050853),GO_Biological_Process_2023,5.047493429545654e-13,1465.9675340005317
26,0.0027159189339727163,0.8457885384559631,neg,Glycolytic Process (GO:0006096),GO_Biological_Process_2023,1.0560383723665655e-08,1196.774823514627
27,0.0024620541371405125,0.8482505679130554,pos,Myogenesis,MSigDB_Hallmark_2020,7.392665038100781e-09,207.7632625634895
27,0.0024620541371405125,0.8482505679130554,neg,Interferon Gamma Response,MSigDB_Hallmark_2020,3.2330286339870824e-05,93.06883213570319
28,0.002426782390102744,0.8506773710250854,pos,STAT6 20620947 ChIP-Seq CD4 POS T Human,ChEA_2022,8.600581260804622e-07,133.47085033415175
28,0.002426782390102744,0.8506773710250854,neg,B Cell Receptor Signaling Pathway (GO:0050853),GO_Biological_Process_2023,2.924915901085173e-08,706.8283826649443
29,0.0022599855437874794,0.8529373407363892,pos,Interferon Alpha Response,MSigDB_Hallmark_2020,1.0504392349535422e-53,10873.485000296556
29,0.0022599855437874794,0.8529373407363892,neg,Oxidoreduction-Driven Active Transmembrane Transporter Activity (GO:0015453),GO_Molecular_Function_2023,2.9176965715606745e-08,537.8909483656437
30,0.002187985461205244,0.8551253080368042,pos,CD22 Mediated BCR Regulation R-HSA-5690714,Reactome_2022,5.9466938579690025e-05,3183.512051346897
30,0.002187985461205244,0.8551253080368042,neg,T Cell Receptor Complex (GO:0042101),GO_Cellular_Component_2023,3.567886214580432e-06,828.8006483109033
31,0.0020718646701425314,0.8571971654891968,pos,Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933,Reactome_2022,2.085697249159535e-05,173.28015778075357
31,0.0020718646701425314,0.8571971654891968,neg,Axon Guidance R-HSA-422475,Reactome_2022,0.01241847694778394,38.731568812593636
32,0.0020060837268829346,0.8592032194137573,pos,Myogenesis,MSigDB_Hallmark_2020,6.493192044686945e-11,288.5693815744541
32,0.0020060837268829346,0.8592032194137573,neg,"Cell Cycle, Mitotic R-HSA-69278",Reactome_2022,1.0768369889489322e-05,85.83732572532283
33,0.0018674485618248582,0.8610706925392151,pos,B Cell Receptor Signaling Pathway (GO:0050853),GO_Biological_Process_2023,2.1696551995791378e-05,388.4690218387859
33,0.0018674485618248582,0.8610706925392151,neg,Metabolism Of Amino Acids And Derivatives R-HSA-71291,Reactome_2022,2.23028841879908e-13,318.4311930350917
34,0.0017801345093175769,0.8628508448600769,pos,heme Metabolism,MSigDB_Hallmark_2020,0.0077906839728840134,41.45060631295679
34,0.0017801345093175769,0.8628508448600769,neg,Skeletal Muscle Contraction (GO:0003009),GO_Biological_Process_2023,0.0010927027535059873,501.12759744627596
35,0.0017158091068267822,0.8645666837692261,pos,heme Metabolism,MSigDB_Hallmark_2020,8.466958936073666e-19,725.3481224790628
35,0.0017158091068267822,0.8645666837692261,neg,Striated Muscle Contraction (GO:0006941),GO_Biological_Process_2023,3.326468109106566e-10,804.3029858101831
36,0.001710230833850801,0.8662769198417664,pos,Endodermal Cell Differentiation (GO:0035987),GO_Biological_Process_2023,0.016886554251216303,219.27708359619595
36,0.001710230833850801,0.8662769198417664,neg,Interferon Alpha Response,MSigDB_Hallmark_2020,0.01766398952742535,51.91145138175452
37,0.001550167566165328,0.8678270578384399,pos,Striated Muscle Contraction (GO:0006941),GO_Biological_Process_2023,3.5352279389990565e-10,804.3029858101831
37,0.001550167566165328,0.8678270578384399,neg,heme Metabolism,MSigDB_Hallmark_2020,3.57334743756467e-05,93.06883213570319
38,0.0015123796183615923,0.8693394660949707,pos,Myogenesis,MSigDB_Hallmark_2020,4.50636754148757e-13,387.35527247124753
38,0.0015123796183615923,0.8693394660949707,neg,Antigen processing and presentation,KEGG_2021_Human,0.0027663183446602745,113.34891391093362
39,0.0014166790060698986,0.8707561492919922,pos,heme Metabolism,MSigDB_Hallmark_2020,5.729315404528105e-09,207.7632625634895
