rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,SRF mouse,0.0008481701801219675,18.82994923857868,133.17348392535672,ACTA2;MYH11;MYLK,0.05937191260853772,0,0,138,pos,TRRUST_Transcription_Factors_2019
2,GATA6 mouse,0.009590008493683598,15.374514374514375,71.44588341233826,PPP1R14A;MYLK,0.3356502972789259,0,0,138,pos,TRRUST_Transcription_Factors_2019
3,SREBF2 human,0.016794888254868964,11.1010101010101,45.36628383483138,LDLR;FDFT1,0.3357023003373218,0,0,138,pos,TRRUST_Transcription_Factors_2019
