rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Regulation Of Pyruvate Dehydrogenase (PDH) Complex R-HSA-204174,0.0005011239651713426,23.178836392034363,176.1280286078286,PDPR;RXRA;PDK4,0.2670990734363256,0,0,103,neg,Reactome_2022
2,Growth Hormone Receptor Signaling R-HSA-982772,0.0017076659731305678,14.343002175489485,91.40261395182883,SOCS1;CISH;IRS1,0.2693799815241099,0,0,103,neg,Reactome_2022
3,Interleukin-7 Signaling R-HSA-1266695,0.0019263332020576173,13.690355329949238,85.59397680666795,SOCS1;CISH;IRS1,0.2693799815241099,0,0,103,neg,Reactome_2022
