,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16
ENOX2,-0.15516877,0.23757815,-0.29568672,-0.10364354,-0.4336208,0.0742048,0.06482601,-0.28229356,0.068861246,0.2565205,0.39284825,-0.0903517,0.115060806,0.12923479,1.6434789,-0.38424134
ENPP4,-0.076049566,0.06110072,-0.028246641,0.24884343,0.3698945,-0.22523999,-0.6180525,-0.0654161,0.12518764,-0.17853379,0.0064730644,0.5005777,0.08840561,0.080263615,1.1255443,-0.2994418
ENPP5,-0.023341179,0.5028963,-0.059551,0.32966137,-0.31539202,0.038963556,-0.086569786,0.20171404,-0.20608902,-0.016838312,0.23370981,-0.23783445,0.04993677,0.24845004,1.3927579,0.183326
ENSA,0.30663013,-0.07135272,0.1529038,0.18277764,0.0944674,-0.45734644,-0.19564033,-0.19347668,-0.5467355,0.17701387,0.05992055,-0.2767682,-0.22833347,0.18438101,0.6668091,-0.12139678
ENTPD1,-0.17101467,-0.14578998,-0.09933412,-0.46016872,0.33267736,0.5369723,-0.5713105,-0.19122958,0.11514723,-0.2641946,-0.097975135,-0.268057,0.2837032,0.017032027,-0.28864145,-0.64478815
ENTPD1-AS1,0.016212463,0.2674669,-0.2737373,-0.15828013,0.46817958,0.6902844,-0.304538,-0.39513707,-0.025701523,-0.17864704,0.06068647,0.24628937,0.27251244,0.06998479,0.6110996,-0.85823536
ENTPD4,-0.18297136,0.34934878,-0.07536113,0.41832328,0.11202395,0.052204728,-0.2958864,-0.13735592,-0.14317632,0.027799606,0.05879104,-0.071811676,-0.1247406,0.02361238,0.8929342,-0.7412404
ENTPD5,0.2598822,0.30260384,-0.19968748,0.3709048,0.088852644,-0.20092279,0.35868287,0.23574829,0.26327968,0.122350454,0.06277561,0.327456,-0.11533648,-0.0051110983,1.0509715,0.51926523
ENTPD6,0.05106926,0.3284037,0.06994605,0.58761835,-0.27219653,-0.02822876,0.41940212,-0.04848838,-0.32042265,0.29514432,0.18574595,-0.23232698,-0.24114251,0.21867752,1.1523485,0.03399849
ENTR1,0.013875961,0.31028986,0.006520748,0.2987802,-0.22488832,-0.0672102,0.12851954,0.3276229,-0.3071785,0.31850934,0.02052188,-0.28672814,-0.09661317,0.112462044,1.4476418,0.122731924
ENY2,-0.06095469,-0.43528825,0.11370778,-0.54641813,0.4754275,-0.09200722,-0.72381794,-0.38309246,-0.14322251,0.37862808,-0.08249432,-0.116328895,0.24418682,-0.03669709,0.4450202,-0.069735944
EOGT,-0.18535852,0.15378594,-0.15174747,-0.0718832,0.070530176,0.3657937,-0.57258606,-0.11436343,0.18693209,0.059968233,-0.046402216,-0.08573532,0.2983451,0.01630187,1.2794852,-0.40106177
EOMES,0.13577938,0.17975569,-0.06529093,0.5833924,-0.17172098,-0.21491647,0.09704232,0.18988252,-0.27207732,-0.10163784,0.19775629,0.14403462,-0.13697743,0.29972196,0.91614723,-0.0050485134
EP300,-0.32013804,0.35470873,-0.20967871,0.036263466,-0.077302754,0.42040646,-0.22426099,-0.20189434,0.4190281,-0.118376315,0.18467009,0.23821443,0.15901178,-0.0868991,0.5269706,-1.0694414
EP400,-0.10099411,0.35481453,0.036472082,0.5349338,-0.25991797,-0.14976859,0.50584674,0.18627644,-0.059390068,0.08676052,0.1170218,0.031411648,-0.20899773,0.061506033,0.9155333,-0.34677982
EPB41,0.2814144,0.20766109,-0.4142359,0.28771088,0.121462345,0.25852472,0.41467547,0.097242,0.6625727,-0.024710596,0.20818114,0.44272244,0.090947,0.032366067,0.8076295,0.12512952
EPB41L2,0.008201599,0.20342469,0.031495094,0.30975342,-0.3129363,-0.48401654,0.27208328,-0.002515316,-0.28784275,0.1024127,0.3894627,0.38987994,-0.16070306,0.050330162,0.8558035,0.10984838
EPB41L3,-0.06361008,0.122886896,-0.04121065,-0.34019947,-0.35762787,-0.0016331673,-0.04941225,-0.37386417,-0.283432,0.09765029,0.53643584,0.38095713,0.043714046,0.20096302,0.7409096,-0.24519563
EPB41L4A,-0.025939941,0.42961836,-0.09788871,0.5064964,-0.24117231,-0.25073886,0.08491278,0.2973914,0.040388107,0.0023305416,0.2586186,0.3837645,-0.1164794,0.025969744,0.9796262,-0.010716915
EPB41L4A-AS1,0.2907157,0.024920702,0.15455484,0.31443834,0.11086464,-0.23662448,0.18146634,-0.14975667,-0.29249787,-0.02515912,0.214082,-0.17000437,-0.17297864,0.13977885,0.93642473,0.31867027
EPB41L5,-0.18437803,0.111949444,-0.2210319,0.108230114,0.1965791,0.15333295,-0.15948713,0.17105937,0.17564893,-0.31781793,-0.06057918,-0.47777295,0.2007246,0.062188506,0.8359313,-0.4840523
EPC1,-0.23148954,0.20024776,-0.20366311,0.33605695,-0.24117827,0.15967488,-0.30912757,-0.019523501,0.21818876,0.11488199,0.14590621,-0.46356916,0.01052618,0.02566278,1.1612833,-0.56024194
EPC2,-0.2926618,0.1706183,-0.20543039,0.07559061,-0.063186884,0.3820181,-0.6082088,-0.06746054,0.33186674,-0.09701848,0.13073087,-0.24422407,0.24718046,-0.006777048,1.1331856,-0.4856974
EPDR1,0.027886778,0.24475083,-0.291951,-0.3816545,0.11963695,-0.0071771443,-0.13684407,0.09260401,0.31641126,0.19182935,0.087403506,0.74344057,0.10474399,-0.05972311,1.1316068,0.018844754
EPG5,-0.14341176,0.32469034,0.018841028,0.40080547,-0.053152442,-0.014531612,-0.036358833,0.08721948,-0.032904744,-0.37534237,0.06812215,0.394997,0.22608042,0.012207031,1.059106,-0.6739497
EPHA1,-0.2147004,0.21768808,0.20265281,0.038169324,0.23973435,0.3094226,0.47163516,-0.26582778,-0.42026192,0.5262464,-0.4951805,-0.6928891,-0.2868861,-0.0265643,-0.5828023,-0.5766466
EPHA1-AS1,-0.16697198,0.25901645,-0.21680444,-0.16184598,-0.44012815,0.11934489,-0.03273636,-0.11794716,0.2556324,0.18235445,0.3121212,-0.6651178,-0.08031428,-0.06419271,0.73011667,-0.2716884
EPHA4,0.028783083,0.18569231,-0.00040531158,0.72484016,-0.023442507,-0.23776293,0.25663376,0.13887286,0.27753115,0.030863285,0.17883182,-0.14357567,-0.3483832,0.022679567,1.226604,-0.058841705
EPHB6,-0.07532239,0.3458917,-0.05132258,0.5194545,-0.25035143,0.22987723,0.8034557,-0.08880198,0.1224637,0.5473435,0.1157105,-0.86444616,-0.19761324,0.085288286,0.7065296,-0.28920174
EPHX1,0.14624596,0.24380982,0.29877424,-0.044101477,0.1801014,-0.26981235,0.6129831,0.1373291,-0.18071532,-0.00039935112,-0.003439188,0.2696216,-0.14164448,-0.044736266,0.7680476,0.13564825
EPHX2,0.0994049,0.29488876,-0.02290532,0.8567706,-0.00087693334,-0.43329895,0.475353,0.34489334,0.028077513,0.20045117,0.14385134,-0.37408546,-0.4831083,0.04079342,1.0209054,0.18743128
EPM2A,-0.094652176,0.24582148,-0.14753938,0.2615869,-0.105541945,-0.030207634,0.11547804,-0.16645193,0.3543973,0.26932955,0.15698671,-0.24250746,-0.18742085,0.051373243,1.5618443,0.14802217
EPM2AIP1,-0.18015355,0.18647313,-0.12487024,0.2557516,0.4111424,0.062412024,-0.6586522,-0.35642684,-0.06045997,0.32524168,0.04386604,0.19203275,-0.022764504,0.018194318,1.1180953,-0.48841536
EPN1,-0.058349967,0.40834546,0.08098483,-0.30169785,-0.36096275,0.005352497,0.10226667,-0.12510121,-0.25939345,0.7698238,0.06327331,0.08369088,-0.34445226,-0.10347664,-0.5512744,-0.3109306
EPN2,0.40896684,0.2981484,-0.4909575,0.5046889,0.6272808,0.13579428,-0.3052801,0.072425604,0.33688098,0.23719072,0.2661854,0.8571163,-0.09658337,-0.04107654,0.65093786,-0.03414452
EPOR,0.616163,-0.05879104,-0.15788972,-0.09215176,0.42889118,0.125283,0.17446578,-0.14367402,0.12317598,-0.12359321,-0.067833066,0.7976353,-0.043600798,0.16587973,0.24886131,-0.1837194
EPS15,-0.36590397,0.07368922,-0.11560321,0.094515085,0.03552437,0.14407635,-0.7867858,-0.12190044,0.12335479,-0.22160709,0.20001829,0.009647012,0.16193092,0.10046661,1.1330992,-0.7935792
EPS15L1,0.09379387,0.33500195,0.0017166138,0.6388068,-0.2688408,0.16822815,0.6403804,0.07827282,-0.13769865,-0.35140514,0.40272474,-0.26384592,-0.46604872,0.26615858,0.35624504,-0.95614195
EPS8,0.038778782,0.11147857,-0.36967397,-0.52260756,-0.43273866,0.13867617,-0.08261204,-0.48094392,0.13452768,0.39913654,0.63591003,0.3507316,0.16579628,0.033962727,0.78976154,0.046241283
EPS8L1,0.1139164,0.54256916,0.23889542,0.22159815,-0.30492544,-0.07864237,0.59349537,0.08504391,-0.2659917,0.5419731,0.12757778,0.16214848,-0.17238855,0.028169155,1.0105848,0.36467314
EPS8L2,0.018572807,0.31146407,0.12809038,0.35706758,0.08238554,-0.22370517,0.2891779,0.48441887,-0.22857189,0.29041767,-0.13442934,-0.31513572,-0.25494397,0.049114227,0.79660416,0.05005002
EPSTI1,-0.20062625,0.34941435,0.39753318,0.24006665,-0.6250739,-0.3553897,0.34807026,-0.035345554,-0.3183186,-0.077322125,-0.019049644,0.08093119,0.31343102,0.083234906,1.0727018,-0.3145784
ERAL1,0.057053566,0.5931169,0.29288828,0.109788775,-0.38770437,-0.30210316,0.5631834,0.31507015,-0.2622366,0.6179601,0.115054846,0.114387274,-0.25693476,-0.0026196241,0.7472098,0.4382819
ERAP1,-0.10853708,0.32648742,0.10818839,0.44997633,-0.24830699,-0.12645721,0.19840002,-0.035700202,0.1188755,0.06401837,0.2232343,-0.34782588,0.008448958,0.10994375,1.497069,-0.27243793
ERAP2,-0.4279554,0.34915805,0.27876794,-0.0012457371,-0.2896607,0.037571788,0.15475154,0.39857924,-0.4210949,-0.031775236,-0.053715706,-0.38860142,0.20017028,-0.008577108,1.1109054,-0.19429326
ERBB2,0.14065504,0.34674406,-0.29517412,0.58823824,-0.49979687,-0.071668625,0.5163431,0.26090145,-0.20214319,0.10057688,0.23052692,-0.20341873,-0.2837658,0.14457703,1.0717034,0.2895713
ERBIN,-0.35305768,0.06821193,-0.31796545,0.10330863,-0.15788972,0.3225781,-0.4705645,-0.18309243,0.3162451,-0.35694838,0.2014026,-0.15817732,0.3954608,0.028196722,1.0787115,-0.6204628
ERC1,-0.21833777,0.4601121,-0.09613633,0.13327003,-0.4185021,-0.1634717,0.22383928,-0.066274405,0.042963028,0.29501915,0.34647584,0.24381876,-0.28597116,-0.0068843365,1.0152042,-0.5144596
ERCC1,0.15300512,0.27914047,0.18142462,0.032043457,-0.4490912,-0.07045269,0.6353736,-0.096488,-0.52354336,0.44520497,0.27356744,-0.4354,-0.33198,0.13664365,0.8768201,0.2315402
ERCC2,0.061243773,0.4514277,0.20639896,0.16952157,-0.49772263,-0.2209723,0.63349605,0.088602304,-0.3633499,0.51430464,0.13869405,-0.007671118,-0.2550304,0.08118749,0.9302795,0.13293624
