rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Glyoxylate and dicarboxylate metabolism,0.00021690636844734666,15.521193092621663,130.93747995826848,GRHPR;MCEE;SHMT1;CAT,0.0390431463205224,0,0,143,neg,KEGG_2021_Human
2,Glutathione metabolism,0.0025341401417975046,7.60377358490566,45.45460491125239,GSTM4;GSTM3;GSTM2;GSTM1,0.2280726127617754,0,0,143,neg,KEGG_2021_Human
3,Metabolism of xenobiotics by cytochrome P450,0.007107636498802521,5.591836734693878,27.660498564595542,GSTM4;GSTM3;GSTM2;GSTM1,0.33373496928233737,0,0,143,neg,KEGG_2021_Human
