rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Xenobiotic Catabolic Process (GO:0042178),3.343535939158139e-05,26.918367346938776,277.4179092680899,GSTM4;GSTM3;GSTM2;GSTM1,0.040055560551114505,0,0,143,neg,GO_Biological_Process_2023
2,Regulation Of Cholesterol Storage (GO:0010885),0.000330570754905644,27.395939086294415,219.56995457412373,MSR1;NR1H3;ABCG1,0.19801188218848076,0,0,143,neg,GO_Biological_Process_2023
3,Negative Regulation Of Lipid Storage (GO:0010888),0.0007195272026923491,20.086294416243653,145.36282995258424,NR1H3;ABCG1;PNPLA2,0.28733119627514475,0,0,143,neg,GO_Biological_Process_2023
