rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,UV Response Dn,0.014966314675544462,3.626821619627375,15.239735042336033,LPAR1;ICA1;CACNA1A;PTPRM;VLDLR,0.3457391895989097,0,0,248,pos,MSigDB_Hallmark_2020
2,Notch Signaling,0.04055549332201731,6.656565656565657,21.334852328849312,TCF7L2;HES1,0.3457391895989097,0,0,248,pos,MSigDB_Hallmark_2020
3,Hedgehog Signaling,0.05019950084615693,5.872251931075461,17.568310863627904,PTCH1;VLDLR,0.3457391895989097,0,0,248,pos,MSigDB_Hallmark_2020
