rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Apoptosis,0.023037596477816998,3.2287968441814594,12.174591038338239,IFITM3;DAP;CTH;IGFBP6;NEFH,0.7352624342520221,0,0,249,pos,MSigDB_Hallmark_2020
2,Glycolysis,0.0508439984704279,2.5779092702169626,7.679574154313181,CTH;PMM2;SRD5A3;VLDLR;GALK2,0.7352624342520221,0,0,249,pos,MSigDB_Hallmark_2020
3,IL-2/STAT5 Signaling,0.13924178864627135,2.0518053375196232,4.045223210419924,IFITM3;TNFRSF18;RGS16;CTLA4,0.7352624342520221,0,0,249,pos,MSigDB_Hallmark_2020
