rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,RUNX3 Regulates BCL2L11 (BIM) Transcription R-HSA-8952158,0.0009754681839454337,66.65656565656566,462.10284137848555,BCL2L11;FOXO3,0.42594942911791817,0,0,97,pos,Reactome_2022
2,Defective CSF2RA Causes SMDP4 R-HSA-5688890,0.0020216133697869413,39.98989898989899,248.09171029141777,SFTPC;SFTPD,0.42594942911791817,0,0,97,pos,Reactome_2022
3,Diseases Associated With Surfactant Metabolism R-HSA-5687613,0.0034202318391573132,28.561327561327563,162.17255858986445,SFTPC;SFTPD,0.42594942911791817,0,0,97,pos,Reactome_2022
