rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Fanconi anemia pathway,0.0020765932331265552,8.061224489795919,49.79439807569174,FANCM;RPA2;SLX1A;FANCB,0.2110357285830079,0,0,52,pos,KEGG_2021_Human
2,Sulfur relay system,0.0026777674677022855,33.323232323232325,197.36590289038227,MPST;CTU1,0.2110357285830079,0,0,52,pos,KEGG_2021_Human
3,HIF-1 signaling pathway,0.004800042097825037,4.8560157790927025,25.926902395204596,CREBBP;EGLN3;EIF4EBP1;SLC2A1;TIMP1,0.2110357285830079,0,0,52,pos,KEGG_2021_Human
