rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Response To Zinc Ion (GO:0010043),4.294348465832447e-06,25.358974358974358,313.3915485176811,MT2A;MT1F;MT1X;PAM;MT1E,0.005080214235079784,0,0,64,neg,GO_Biological_Process_2023
2,Cellular Response To Zinc Ion (GO:0071294),1.2150001455530943e-05,36.714285714285715,415.53894085341443,MT2A;MT1F;MT1X;MT1E,0.0071867258609465525,0,0,64,neg,GO_Biological_Process_2023
3,Cellular Response To Copper Ion (GO:0071280),4.146798801190002e-05,25.23469387755102,254.6329194525256,MT2A;MT1F;MT1X;MT1E,0.01635220993935924,0,0,64,neg,GO_Biological_Process_2023
