rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Cholesterol Homeostasis,0.0008760638830943262,7.332218506131549,51.61934285779443,FADS2;SQLE;JAG1;HMGCR;LDLR,0.012142722935649716,0,0,117,neg,MSigDB_Hallmark_2020
2,mTORC1 Signaling,0.0009340556104345935,4.255208333333333,29.684225172013964,QDPR;SQLE;FADS2;XBP1;DHCR24;HMGCR;LDLR;FADS1,0.012142722935649716,0,0,117,neg,MSigDB_Hallmark_2020
3,Epithelial Mesenchymal Transition,0.0009340556104345935,4.255208333333333,29.684225172013964,CADM1;ANPEP;IGFBP2;FN1;PLOD1;VIM;PRSS2;PVR,0.012142722935649716,0,0,117,neg,MSigDB_Hallmark_2020
