rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Positive Regulation Of Phospholipid Transport (GO:2001140),0.00011224655254723089,43.059463379260336,391.61775629527256,CETP;PRELID1;APOA1,0.11976707156789536,0,0,150,neg,GO_Biological_Process_2023
2,High-Density Lipoprotein Particle Remodeling (GO:0034375),0.00041017649693527065,25.111675126903553,195.84402098106767,CETP;APOM;APOA1,0.1782330902792742,0,0,150,neg,GO_Biological_Process_2023
3,Reverse Cholesterol Transport (GO:0043691),0.0005011239651713426,23.178836392034363,176.1280286078286,CETP;APOM;APOA1,0.1782330902792742,0,0,150,neg,GO_Biological_Process_2023
