rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Extracellular Matrix Organization (GO:0030198),7.198871524237965e-05,5.53961187572499,52.84236424131266,KIF9;COL5A3;COL4A3;COL5A2;LAMC1;TPSAB1;WASHC1;LOXL1;ELANE,0.033951316749685836,0,0,148,neg,GO_Biological_Process_2023
2,Extracellular Matrix Disassembly (GO:0022617),7.524121289207404e-05,12.992110453648916,123.35763887867834,KIF9;LAMC1;TPSAB1;WASHC1;ELANE,0.033951316749685836,0,0,148,neg,GO_Biological_Process_2023
3,Cellular Component Disassembly (GO:0022411),9.34439910541812e-05,12.357098186366478,114.65098986831539,KIF9;LAMC1;TPSAB1;WASHC1;ELANE,0.033951316749685836,0,0,148,neg,GO_Biological_Process_2023
