rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Purpura (HP:0000979),5.33779780081584e-07,42.282051282051285,610.6916104961218,GP9;ITGB3;PROS1;ITGA2B;GP1BA,6.912448152056513e-05,0,0,23,pos,Human_Phenotype_Ontology
2,Menorrhagia (HP:0000132),5.33779780081584e-07,42.282051282051285,610.6916104961218,GP9;ITGB3;ITGA2B;GP1BA;GP6,6.912448152056513e-05,0,0,23,pos,Human_Phenotype_Ontology
3,Prolonged bleeding time (HP:0003010),1.6991156196356266e-06,31.705128205128204,421.21539478257284,GP9;ITGB3;ITGA2B;GP1BA;GP6,0.00014669031516187576,0,0,23,pos,Human_Phenotype_Ontology
