rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,SCL 21571218 ChIP-Seq MEGAKARYOCYTES Human,0.00016160637580208347,2.236594085147871,19.5262423685239,ISCA1;PROS1;IRS2;ALOX12;STON2;PCSK6;ARHGAP6;ACRBP;THBS1;MYLK;PTGS1;NRGN;TRPM2;PRDX4;PRKAR2B;TUBB1;SH3BGRL2;ABCC3;PTCRA;CMTM5;CTDSPL;TMEM40;FRMD4B;ELL2;GNG11;TUBA4A;VNN1;XPNPEP1;PDE5A;PVALB,0.11571016507429177,0,0,23,pos,ChEA_2022
2,GATA1 22383799 ChIP-Seq G1ME Mouse,0.0006555771264151624,2.0406091370558377,14.957653957874458,COPA;SPARC;DERL3;ITGB3;ITGA2B;TXNDC11;SAMSN1;CLU;NRGN;TRPM2;MED11;GPR171;TUBB1;SESN2;NT5DC3;E2F1;GAS2L1;ABCF3;LY6G6F;IFNGR1;TMEM40;GP1BA;ELL2;TREML1;GP9;EHD3;TRMT6;ESAM;MYL9;PF4,0.189958593100135,0,0,23,pos,ChEA_2022
3,SOX2 20726797 ChIP-Seq SW620 Human,0.0007959158928776606,1.932988675842008,13.79384012877426,FKBP11;GBE1;PROS1;LOXL3;F13A1;STON2;PCSK6;THBS1;MYLK;PTGS1;CDC14B;NRGN;TRPM2;PRDX4;VSIG2;SESN2;SIAE;GAS2L1;ZNF586;ABCC3;ADSL;IFNGR1;NETO2;FRMD4B;ELL2;SAP30;SUPV3L1;P2RX5;VNN1;PRKAR1B;SDC1;ESAM;MPHOSPH6;ZNF552,0.189958593100135,0,0,23,pos,ChEA_2022
