rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Cholesterol Biosynthesis R-HSA-191273,0.0021616710096346928,13.094460384021188,80.35905008065508,SREBF1;SQLE;TM7SF2,0.6530924431496523,0,0,242,pos,Reactome_2022
2,Presynaptic Phase Of Homologous DNA Pairing And Strand Exchange R-HSA-5693616,0.0074150224240263525,8.134037590890383,39.89133172446582,RAD51B;BLM;POLR1B,0.6530924431496523,0,0,242,pos,Reactome_2022
3,Defective Homologous Recombination Repair (HRR) Due To BRCA2 Loss Of Function R-HSA-9701190,0.007942343574308956,7.919583222014427,38.29551599382337,RAD51B;BLM;POLR1B,0.6530924431496523,0,0,242,pos,Reactome_2022
