rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Intestinal immune network for IgA production,0.012247096503504439,6.685279187817259,29.431716933517144,MADCAM1;ICOSLG;HLA-DQB1,0.7729655385107587,0,0,215,neg,KEGG_2021_Human
2,Regulation of lipolysis in adipocytes,0.017658061740962884,5.783287778211636,23.34460456181631,IRS1;ADCY3;GNAI1,0.7729655385107587,0,0,215,neg,KEGG_2021_Human
3,Long-term depression,0.02221560398244669,5.2746460058776385,20.080368230600833,PPP1R17;GUCY1B1;GNAI1,0.7729655385107587,0,0,215,neg,KEGG_2021_Human
