rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Muscle Contraction R-HSA-397014,4.6886799868401725e-06,6.170885170885171,75.71897928140494,RYR1;ACTA2;TNNT1;CALD1;TPM2;FXYD1;TNNC2;SCN9A;TPM1;TNNI2;MYH11,0.001852028594801868,0,0,105,pos,Reactome_2022
2,Striated Muscle Contraction R-HSA-390522,1.7976601477623105e-05,18.106227106227106,197.83659620108142,TNNT1;TPM2;TNNC2;TPM1;TNNI2,0.0035503787918305632,0,0,105,pos,Reactome_2022
3,Smooth Muscle Contraction R-HSA-445355,6.723327393029232e-05,13.334682860998651,128.110862510313,ACTA2;CALD1;TPM2;TPM1;MYH11,0.008852381067488488,0,0,105,pos,Reactome_2022
