rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Nucleobase-Containing Small Molecule Interconversion (GO:0015949),3.3473033797170354e-05,75.36548223350253,776.6239908457204,AK2;AK5;NUDT13,0.045389433828963,0,0,69,pos,GO_Biological_Process_2023
2,Peptide Cross-Linking (GO:0018149),0.00014220084233688404,17.54835847382431,155.44809947118515,DSP;KRT2;KRT10;THBS1,0.09641217110440738,0,0,69,pos,GO_Biological_Process_2023
3,acyl-CoA Metabolic Process (GO:0006637),0.00024710303456243254,14.945578231292517,124.13356629968176,MCEE;ACSM3;GPAT4;ACACB,0.11169057162221951,0,0,69,pos,GO_Biological_Process_2023
